college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Wheaton College,"Wheaton, IL",4-year,Private,Small,Suburban,88%,$30K,1260-1440
Meredith College,"Raleigh, NC",4-year,Private,Small,Urban,68%,$23K,1093-1270
Louisiana State University And Agricultural And Mechanical College,"Baton Rouge, LA",4-year,Public,Very Large,Urban,67%,$21K,1150-1130
University of Nebraska - Omaha,"Omaha, NE",4-year,Public,Unknown,Urban,52%,$13K,Unknown
University of Saint Joseph,"West Hartford, CT",4-year,Private,Small,Suburban,61%,$26K,970-1170
Gods Bible School And College,"Cincinnati, OH",4-year,Private,Unknown,Urban,80%,$9K,Unknown
City University of New York: New York City College of Technology,"Brooklyn, NY",4-year,Public,Large,Urban,30%,$6K,Unknown
Mid Michigan College,"Harrison, MI",2-year,Public,Small,Rural,Unknown,$8K,Unknown
Massachusetts Bay Community College,"Wellesley Hills, MA",2-year,Public,Medium,Suburban,Unknown,$7K,Unknown
Point Park University,"Pittsburgh, PA",4-year,Private,Small,Urban,59%,$25K,1023-1240
Cochise College,"Sierra Vista, AZ",2-year,Public,Medium,Rural,Unknown,$8K,Unknown
Shorter University,"Rome, GA",4-year,Private,Small,Suburban,32%,$13K,Unknown
Central Oregon Community College,"Bend, OR",2-year,Public,Medium,Rural,Unknown,$8K,Unknown
Delaware Valley University,"Doylestown, PA",4-year,Private,Small,Suburban,54%,$29K,1030-1210
Aims Community College,"Greeley, CO",4-year,Public,Medium,Urban,Unknown,$8K,Unknown
Texas A&M University,"College Station, TX",4-year,Public,Medium,Urban,84%,$20K,1150-1370
Bucks County Community College,"Newtown, PA",2-year,Public,Medium,Suburban,Unknown,$7K,Unknown
Lycoming College,"Williamsport, PA",4-year,Private,Small,Urban,64%,$20K,1088-1273
Maranatha Baptist University,"Watertown, WI",4-year,Private,Small,Urban,53%,$23K,980-1230
Monroe College,"Bronx, NY",4-year,Private,Medium,Urban,69%,$9K,Unknown
Seattle Pacific University,"Seattle, WA",4-year,Private,Small,Urban,65%,$27K,1090-1300
Stone Child College,"Box Elder, MT",4-year,Public,Unknown,Rural,Unknown,$8K,Unknown
Kennesaw State University,"Kennesaw, GA",4-year,Public,Very Large,Suburban,46%,$18K,1010-1210
Neumann University,"Aston, PA",4-year,Private,Small,Suburban,54%,$29K,853-1115
University of Arkansas: Community College at Morrilton,"Morrilton, AR",2-year,Public,Small,Rural,Unknown,$8K,Unknown
Santa Fe Community College,"Santa Fe, NM",2-year,Public,Small,Urban,Unknown,$8K,Unknown
Le Moyne College,"Syracuse, NY",4-year,Private,Small,Suburban,72%,$23K,1150-1310
Berea College,"Berea, KY",4-year,Private,Small,Rural,62%,$2K,1178-1320
Unity Environmental University,"Unity, ME",4-year,Private,Small,Rural,51%,$19K,Unknown
St. Francis University,"Loretto, PA",4-year,Private,Small,Rural,72%,$27K,1070-1220
Edison State Community College,"Piqua, OH",4-year,Public,Small,Rural,Unknown,$8K,Unknown
Augustana College,"Rock Island, IL",4-year,Private,Small,Suburban,78%,$25K,1020-1240
University Of Pittsburgh At Johnstown,"Johnstown, PA",4-year,Public,Unknown,Suburban,48%,$18K,Unknown
Mount Wachusett Community College,"Gardner, MA",2-year,Public,Small,Suburban,Unknown,$8K,Unknown
Montana Technological University,"Butte, MT",4-year,Public,Small,Rural,57%,$16K,Unknown
Union College,"Lincoln, NE",4-year,Private,Small,Suburban,55%,$23K,1010-1305
University Of Arkansas Grantham,"Little Rock, AR",4-year,Private,Medium,Suburban,21%,$10K,Unknown
Lindenwood University,"Saint Charles, MO",4-year,Private,Medium,Suburban,54%,$18K,1010-1190
White Earth Tribal and Community College,"Mahnomen, MN",2-year,Private,Small,Rural,Unknown,$8K,Unknown
Tiffin University,"Tiffin, OH",4-year,Private,Small,Suburban,45%,$26K,900-1110
Elizabethtown College,"Elizabethtown, PA",4-year,Private,Small,Suburban,76%,$27K,1093-1270
University of Colorado Denver,"Denver, CO",4-year,Public,Large,Urban,44%,$16K,1040-1250
Roanoke-Chowan Community College,"Ahoskie, NC",2-year,Public,Unknown,Rural,Unknown,$9K,Unknown
Wor-Wic Community College,"Salisbury, MD",2-year,Public,Small,Rural,Unknown,$9K,Unknown
University of La Verne,"La Verne, CA",4-year,Private,Small,Suburban,63%,$25K,1003-1325
Touro University,"New York, NY",4-year,Private,Medium,Urban,69%,$24K,1130-1340
Yeshiva Gedolah Tiferes Boruch,"North Plainfield, NJ",4-year,Private,Unknown,Suburban,15%,$6K,Unknown
Eastern Arizona College,"Thatcher, AZ",2-year,Public,Medium,Rural,Unknown,$9K,Unknown
Evergreen State College,"Olympia, WA",4-year,Public,Small,Suburban,41%,$16K,Unknown
City University of New York: Medgar Evers College,"Brooklyn, NY",4-year,Public,Medium,Urban,22%,$8K,Unknown
St. John's University,"Jamaica, NY",4-year,Private,Large,Urban,69%,$26K,1120-1308
Northern Essex Community College,"Haverhill, MA",2-year,Public,Medium,Suburban,Unknown,$7K,Unknown
Concordia College: Moorhead,"Moorhead, MN",4-year,Private,Small,Suburban,69%,$23K,1020-1270
Augusta University,"Augusta, GA",4-year,Public,Medium,Urban,50%,$14K,Unknown
Misericordia University,"Dallas, PA",4-year,Private,Small,Suburban,75%,$27K,1060-1220
Hastings College,"Hastings, NE",4-year,Private,Small,Rural,55%,$22K,910-1070
Warrensburg Area Career Center,"Warrensburg, MO",Less than 2-year,Unknown,Unknown,Rural,Unknown,$9K,Unknown
Coe College,"Cedar Rapids, IA",4-year,Private,Small,Urban,65%,$21K,990-1260
College of Charleston,"Charleston, SC",4-year,Public,Large,Urban,65%,$21K,1150-1290
University of St. Thomas,"Saint Paul, MN",4-year,Private,Medium,Urban,80%,$30K,1170-1360
Marymount University,"Arlington, VA",4-year,Private,Small,Suburban,61%,$25K,1113-1248
Olivet Nazarene University,"Bourbonnais, IL",4-year,Private,Small,Suburban,67%,$20K,950-1195
Southeast Kentucky Community and Technical College,"Cumberland, KY",2-year,Public,Small,Rural,Unknown,$5K,Unknown
Berkshire Community College,"Pittsfield, MA",2-year,Public,Small,Rural,Unknown,$9K,Unknown
University of Evansville,"Evansville, IN",4-year,Private,Small,Urban,65%,$19K,1080-1260
University of Montevallo,"Montevallo, AL",4-year,Public,Small,Suburban,55%,$17K,990-1170
Western New England University,"Springfield, MA",4-year,Private,Small,Suburban,67%,$30K,1128-1270
Palm Beach Atlantic University,"West Palm Beach, FL",4-year,Private,Small,Urban,56%,$30K,1020-1260
Utah Tech University,"Saint George, UT",4-year,Public,Medium,Suburban,25%,$15K,Unknown
Viterbo University,"La Crosse, WI",4-year,Private,Small,Suburban,61%,$23K,1050-1420
Cleveland State Community College,"Cleveland, TN",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
East Georgia State College,"Swainsboro, GA",4-year,Public,Unknown,Rural,14%,$10K,Unknown
Felician University,"Lodi, NJ",4-year,Private,Small,Suburban,52%,$16K,Unknown
Capital University,"Columbus, OH",4-year,Private,Small,Suburban,61%,$24K,1000-1210
Front Range Community College,"Westminster, CO",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Little Priest Tribal College,"Winnebago, NE",2-year,Private,Unknown,Rural,Unknown,$9K,Unknown
University of New Orleans,"New Orleans, LA",4-year,Public,Medium,Urban,38%,$12K,1020-1230
Life University,"Marietta, GA",4-year,Private,Small,Urban,31%,$28K,935-1133
Ohel Margulia Seminary,"Monsey, NY",Unknown,Private,Unknown,Suburban,Unknown,$8K,Unknown
University of Alaska Anchorage,"Anchorage, AK",4-year,Public,Medium,Urban,31%,$16K,990-1215
Assumption University,"Worcester, MA",4-year,Private,Small,Suburban,72%,$29K,1110-1250
City University of New York: City College,"New York, NY",4-year,Public,Large,Urban,59%,$5K,Unknown
Hollins University,"Roanoke, VA",4-year,Private,Small,Suburban,62%,$21K,1140-1300
Southern Utah University,"Cedar City, UT",4-year,Public,Large,Rural,47%,$13K,Unknown
California State Polytechnic University: Pomona,"Pomona, CA",4-year,Public,Very Large,Suburban,66%,$12K,Unknown
Wittenberg University,"Springfield, OH",4-year,Private,Small,Suburban,57%,$23K,1020-1270
Kirtland Community College,"Grayling, MI",2-year,Public,Small,Rural,Unknown,$9K,Unknown
National Conservatory Of Dramatic Arts,"Washington, DC",Unknown,Unknown,Unknown,Urban,Unknown,$9K,Unknown
Columbia College,"Columbia, MO",4-year,Private,Small,Urban,41%,$23K,890-1230
College of Menominee Nation,"Keshena, WI",4-year,Private,Small,Rural,Unknown,$9K,Unknown
Universidad Ana G Mendez - Gurabo Campus,"Gurabo, PR",4-year,Private,Medium,Urban,29%,$7K,Unknown
Pacific University,"Forest Grove, OR",4-year,Private,Small,Suburban,66%,$33K,1030-1355
Southwest Virginia Community College,"Cedar Bluff, VA",2-year,Public,Small,Rural,Unknown,$9K,Unknown
Central Maine Community College,"Auburn, ME",2-year,Public,Small,Suburban,Unknown,$7K,Unknown
University of Hartford,"West Hartford, CT",4-year,Private,Medium,Suburban,60%,$32K,1130-1300
Lubbock Christian University,"Lubbock, TX",4-year,Private,Small,Urban,49%,$24K,920-1170
Southwestern Michigan College,"Dowagiac, MI",2-year,Public,Small,Rural,Unknown,$9K,Unknown
Rutgers The State University Of New Jersey Camden Campus,"Camden, NJ",4-year,Public,Medium,Urban,65%,$14K,Unknown
Ouachita Baptist University,"Arkadelphia, AR",4-year,Private,Small,Rural,65%,$22K,1080-1270
Mercer University,"Macon, GA",4-year,Private,Medium,Urban,74%,$22K,1170-1330
Wallace State Community College at Hanceville,"Hanceville, AL",2-year,Public,Medium,Rural,Unknown,$10K,Unknown
Pikes Peak State College,"Colorado Springs, CO",4-year,Public,Large,Suburban,Unknown,$10K,Unknown
Xavier University,"Cincinnati, OH",4-year,Private,Medium,Urban,74%,$32K,1120-1300
Nebraska Methodist College of Nursing and Allied Health,"Omaha, NE",4-year,Private,Small,Urban,65%,$19K,Unknown
Monmouth University,"West Long Branch, NJ",4-year,Private,Medium,Suburban,68%,$31K,1110-1260
Trinity International University,"Deerfield, IL",4-year,Private,Unknown,Suburban,50%,$17K,Unknown
Roxbury Community College,"Roxbury Crossing, MA",2-year,Public,Small,Urban,Unknown,$10K,Unknown
Abraham Baldwin Agricultural College,"Tifton, GA",4-year,Public,Unknown,Rural,41%,$7K,Unknown
Saint Mary's College of California,"Moraga, CA",4-year,Private,Small,Suburban,72%,$32K,1080-1260
Rider University,"Lawrence Township, NJ",4-year,Private,Medium,Suburban,67%,$26K,1110-1310
Hesston College,"Hesston, KS",2-year,Private,Small,Rural,82%,$21K,940-1170
Susquehanna University,"Selinsgrove, PA",4-year,Private,Small,Rural,76%,$29K,1100-1270
Arapahoe Community College,"Littleton, CO",4-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Gateway Community and Technical College,"Florence, KY",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Alverno College,"Milwaukee, WI",4-year,Private,Small,Urban,52%,$18K,Unknown
Taylor University,"Upland, IN",4-year,Private,Small,Rural,78%,$27K,1080-1320
New Mexico Institute of Mining and Technology,"Socorro, NM",4-year,Public,Small,Rural,55%,$10K,Unknown
The College of New Jersey,"Ewing, NJ",4-year,Public,Medium,Suburban,86%,$22K,1150-1330
Howard Community College,"Columbia, MD",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Antioch College,"Yellow Springs, OH",4-year,Private,Small,Rural,25%,$17K,1195-1285
University Of North Carolina At Wilmington,"Wilmington, NC",4-year,Public,Large,Urban,74%,$19K,1230-1340
Pacific Lutheran University,"Tacoma, WA",4-year,Private,Small,Suburban,72%,$25K,1213-1330
Luzerne County Community College,"Nanticoke, PA",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Pfeiffer University,"Misenheimer, NC",4-year,Private,Small,Rural,34%,$22K,895-1150
Boise Bible College,"Boise, ID",4-year,Private,Unknown,Suburban,38%,$18K,Unknown
University of Washington,"Seattle, WA",4-year,Public,Very Large,Urban,84%,$11K,1280-1490
Cornell College,"Mount Vernon, IA",4-year,Private,Small,Rural,63%,$26K,1130-1260
Corban University,"Salem, OR",4-year,Private,Small,Suburban,54%,$26K,1020-1280
Dominican University New York,"Orangeburg, NY",4-year,Private,Small,Suburban,53%,$24K,1100-1215
Southeastern Community College,"West Burlington, IA",2-year,Public,Small,Suburban,Unknown,$10K,Unknown
Eastern Mennonite University,"Harrisonburg, VA",4-year,Private,Small,Rural,63%,$24K,Unknown
Graham Hospital School Of Nursing,"Canton, IL",Unknown,Unknown,Unknown,Rural,Unknown,$10K,Unknown
Stetson University,"Deland, FL",4-year,Private,Small,Suburban,64%,$26K,988-1213
Columbus State Community College Columbus Campus,"Columbus, OH",2-year,Public,Very Large,Urban,Unknown,$7K,Unknown
Fullerton College,"Fullerton, CA",2-year,Public,Very Large,Suburban,Unknown,$10K,Unknown
Judson University,"Elgin, IL",4-year,Private,Small,Suburban,53%,$19K,920-1130
SUNY College at Geneseo,"Geneseo, NY",4-year,Public,Medium,Rural,74%,$20K,1205-1330
Wilmington College,"Wilmington, OH",4-year,Private,Unknown,Rural,51%,$25K,940-1200
Southern University at Shreveport,"Shreveport, LA",2-year,Public,Unknown,Suburban,Unknown,$10K,Unknown
Jamestown Community College,"Jamestown, NY",2-year,Public,Small,Rural,Unknown,$10K,Unknown
University of Cincinnati: Clermont College,"Batavia, OH",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Herzing University Orlando,"Winter Park, FL",4-year,Private,Unknown,Urban,67%,$22K,Unknown
Soka University of America,"Aliso Viejo, CA",4-year,Private,Small,Suburban,88%,$18K,1280-1410
Lone Star College System,"Spring, TX",4-year,Public,Very Large,Suburban,Unknown,$10K,Unknown
Jacksonville State University,"Jacksonville, AL",4-year,Public,Unknown,Rural,52%,$12K,Unknown
Austin College,"Sherman, TX",4-year,Private,Small,Suburban,73%,$25K,1110-1300
Earlham College,"Richmond, IN",4-year,Private,Small,Suburban,75%,$26K,1125-1285
City University of New York: Baruch College,"New York, NY",4-year,Public,Very Large,Urban,74%,$5K,Unknown
Mississippi Valley State University,"Itta Bena, MS",4-year,Public,Unknown,Rural,26%,$12K,Unknown
County College of Morris,"Randolph, NJ",2-year,Public,Medium,Suburban,Unknown,$9K,Unknown
Herkimer County Community College,"Herkimer, NY",2-year,Public,Small,Rural,Unknown,$9K,Unknown
Fond du Lac Tribal and Community College,"Cloquet, MN",4-year,Public,Small,Rural,Unknown,$10K,Unknown
University of New Hampshire at Manchester,"Manchester, NH",4-year,Public,Unknown,Urban,69%,$19K,Unknown
Century College,"Saint Paul, MN",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Lakeland University,"Plymouth, WI",4-year,Private,Unknown,Rural,51%,$22K,Unknown
Grace College,"Winona Lake, IN",4-year,Private,Unknown,Suburban,66%,$18K,Unknown
The King's University,"Southlake, TX",4-year,Private,Unknown,Suburban,67%,$23K,Unknown
Oklahoma City University,"Oklahoma City, OK",4-year,Private,Small,Urban,69%,$25K,1040-1300
Samford University,"Birmingham, AL",4-year,Private,Medium,Suburban,78%,$32K,1070-1260
Roanoke College,"Salem, VA",4-year,Private,Small,Suburban,71%,$29K,1080-1210
Northampton Community College,"Bethlehem, PA",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
Emmaus University,"Dubuque, IA",4-year,Private,Small,Suburban,52%,$16K,1110-1250
Universidad Ana G Mendez - Carolina Campus,"Carolina, PR",4-year,Private,Medium,Urban,32%,$7K,Unknown
Loras College,"Dubuque, IA",4-year,Private,Small,Suburban,68%,$22K,Unknown
Louisiana State University at Eunice,"Eunice, LA",2-year,Public,Small,Rural,Unknown,$10K,Unknown
New York Institute of Technology,"Old Westbury, NY",4-year,Private,Medium,Suburban,55%,$22K,1180-1390
Inver Hills Community College,"Inver Grove Heights, MN",2-year,Public,Small,Suburban,Unknown,$10K,Unknown
Bryan University,"Tempe, AZ",4-year,Private,Small,Urban,33%,$18K,Unknown
Palm Beach State College,"Lake Worth, FL",4-year,Public,Very Large,Suburban,Unknown,$11K,Unknown
University of Redlands,"Redlands, CA",4-year,Private,Small,Suburban,67%,$28K,1110-1290
Bethany College,"Bethany, WV",4-year,Private,Small,Rural,42%,$18K,Unknown
Columbus Technical College,"Columbus, GA",2-year,Public,Small,Urban,Unknown,$7K,Unknown
Athens Technical College,"Athens, GA",2-year,Public,Medium,Suburban,Unknown,$8K,Unknown
Lamar Community College,"Lamar, CO",2-year,Public,Small,Rural,Unknown,$11K,Unknown
Wabash College,"Crawfordsville, IN",4-year,Private,Small,Suburban,75%,$23K,1070-1267
Georgia State University,"Atlanta, GA",4-year,Public,Very Large,Urban,55%,$18K,960-1180
Adelphi University,"Garden City, NY",4-year,Private,Medium,Suburban,68%,$27K,1120-1310
Berkeley College,"Woodland Park, NJ",4-year,Private,Small,Suburban,43%,$17K,Unknown
Coconino County Community College,"Flagstaff, AZ",2-year,Public,Small,Rural,Unknown,$11K,Unknown
Molloy University,"Rockville Centre, NY",4-year,Private,Medium,Suburban,70%,$27K,1090-1300
Indiana Wesleyan University,"Marion, IN",4-year,Private,Small,Suburban,66%,$22K,Unknown
San Francisco Bay University,"Fremont, CA",4-year,Private,Unknown,Suburban,Unknown,$13K,Unknown
Marywood University,"Scranton, PA",4-year,Private,Small,Suburban,76%,$23K,1070-1240
State University of New York New Paltz,"New Paltz, NY",4-year,Public,Medium,Suburban,73%,$20K,1190-1330
Southwest Wisconsin Technical College,"Fennimore, WI",2-year,Public,Small,Rural,Unknown,$10K,Unknown
Rockhurst University,"Kansas City, MO",4-year,Private,Small,Urban,77%,$23K,1120-1210
Northwest State Community College,"Archbold, OH",2-year,Public,Small,Rural,Unknown,$11K,Unknown
Vanguard University of Southern California,"Costa Mesa, CA",4-year,Private,Small,Suburban,60%,$24K,920-1200
SUNY College at Potsdam,"Potsdam, NY",4-year,Public,Small,Rural,50%,$15K,Unknown
Young Harris College,"Young Harris, GA",4-year,Private,Small,Rural,49%,$19K,1030-1150
Mid South Christian College,"Memphis, TN",4-year,Private,Unknown,Urban,Unknown,$11K,Unknown
Great Falls College Montana State University,"Great Falls, MT",2-year,Public,Small,Suburban,Unknown,$9K,Unknown
Ohio University: Zanesville Campus,"Zanesville, OH",4-year,Public,Small,Rural,15%,$8K,Unknown
Culver-Stockton College,"Canton, MO",4-year,Private,Small,Rural,48%,$21K,970-1150
Onondaga Community College,"Syracuse, NY",2-year,Public,Medium,Suburban,Unknown,$6K,Unknown
University of California: Riverside,"Riverside, CA",4-year,Public,Very Large,Suburban,76%,$14K,Unknown
Elim Bible Institute and College,"Lima, NY",4-year,Private,Small,Rural,Unknown,$10K,Unknown
Kalamazoo College,"Kalamazoo, MI",4-year,Private,Small,Suburban,80%,$27K,1208-1370
Saint Joseph's University,"Philadelphia, PA",4-year,Private,Medium,Suburban,82%,$34K,1180-1330
Pueblo Community College,"Pueblo, CO",4-year,Public,Medium,Urban,Unknown,$11K,Unknown
West Virginia State University,"Institute, WV",4-year,Public,Small,Suburban,35%,$12K,870-1060
Southwestern Adventist University,"Keene, TX",4-year,Private,Small,Rural,50%,$20K,880-1090
Patrick Henry College,"Purcellville, VA",4-year,Private,Small,Suburban,65%,$26K,1220-1410
Central Washington University,"Ellensburg, WA",4-year,Public,Large,Rural,52%,$16K,Unknown
Fort Lewis College,"Durango, CO",4-year,Public,Medium,Rural,39%,$16K,Unknown
San Jacinto College,"Pasadena, TX",2-year,Public,Very Large,Suburban,Unknown,$11K,Unknown
William Carey University,"Hattiesburg, MS",4-year,Private,Small,Suburban,42%,$15K,960-1170
Colby-Sawyer College,"New London, NH",4-year,Private,Small,Rural,59%,$28K,1020-1170
Welch College,"Gallatin, TN",4-year,Private,Small,Suburban,51%,$19K,1040-1300
Iona University,"New Rochelle, NY",4-year,Private,Small,Suburban,57%,$29K,1130-1290
Rutgers The State University Of New Jersey Newark Campus,"Newark, NJ",4-year,Public,Medium,Urban,66%,$17K,Unknown
Shenandoah University,"Winchester, VA",4-year,Private,Small,Suburban,62%,$26K,1125-1295
Albion College,"Albion, MI",4-year,Private,Small,Rural,59%,$19K,990-1230
Florida National University,"Hialeah, FL",4-year,Private,Small,Urban,44%,$21K,Unknown
Dakota County Technical College,"Rosemount, MN",2-year,Public,Small,Suburban,Unknown,$11K,Unknown
Sweet Briar College,"Sweet Briar, VA",4-year,Private,Small,Rural,61%,$28K,980-1200
Randolph College,"Lynchburg, VA",4-year,Private,Small,Suburban,50%,$23K,1040-1150
Hanover College,"Hanover, IN",4-year,Private,Small,Rural,69%,$27K,1100-1230
Motlow State Community College,"Tullahoma, TN",2-year,Public,Medium,Rural,Unknown,$11K,Unknown
National-Louis University,"Chicago, IL",4-year,Private,Medium,Urban,31%,$15K,Unknown
University of Maine at Augusta,"Augusta, ME",4-year,Public,Unknown,Suburban,19%,$10K,Unknown
Cleveland State University,"Cleveland, OH",4-year,Public,Large,Urban,49%,$16K,Unknown
Goddard College,"Plainfield, VT",4-year,Private,Small,Rural,57%,$18K,Unknown
Alma College,"Alma, MI",4-year,Private,Small,Rural,62%,$24K,980-1210
Rose State College,"Oklahoma City, OK",2-year,Public,Medium,Suburban,Unknown,$12K,Unknown
Midwestern State University,"Wichita Falls, TX",4-year,Public,Unknown,Suburban,41%,$11K,Unknown
Yeshiva Bais Aharon,"Lakewood, NJ",4-year,Private,Unknown,Urban,57%,$7K,Unknown
College Of Business And Technology Hialeah,"Hialeah, FL",2-year,Private,Small,Urban,Unknown,$12K,Unknown
Agnes Scott College,"Decatur, GA",4-year,Private,Small,Urban,77%,$24K,1170-1330
Bnos Zion Of Bobov Seminary,"Brooklyn, NY",Unknown,Private,Unknown,Urban,Unknown,$8K,Unknown
Walnut Hill College,"Philadelphia, PA",4-year,Private,Unknown,Urban,87%,$31K,Unknown
Concordia University Irvine,"Irvine, CA",4-year,Private,Small,Suburban,63%,$30K,1060-1260
Thaddeus Stevens College of Technology,"Lancaster, PA",2-year,Public,Unknown,Urban,Unknown,$8K,Unknown
Milligan University,"Milligan College, TN",4-year,Private,Small,Suburban,63%,$20K,1175-1280
University of South Carolina: Columbia,"Columbia, SC",4-year,Public,Very Large,Urban,78%,$22K,1150-1340
Southern Adventist University,"Collegedale, TN",4-year,Private,Small,Rural,62%,$24K,990-1270
John Paul the Great Catholic University,"Escondido, CA",4-year,Private,Small,Urban,73%,$31K,1060-1283
Quincy University,"Quincy, IL",4-year,Private,Small,Urban,50%,$12K,1110-1250
Saint Louis College Of Health Careers County Campus,"Fenton, MO",4-year,Private,Unknown,Suburban,62%,$25K,Unknown
Boise State University,"Boise, ID",4-year,Public,Very Large,Urban,59%,$18K,Unknown
University of Houston-Victoria,"Victoria, TX",4-year,Public,Small,Urban,23%,$12K,920-1100
Virginia State University,"Petersburg, VA",4-year,Public,Unknown,Suburban,38%,$16K,Unknown
Augustana University,"Sioux Falls, SD",4-year,Private,Small,Urban,76%,$24K,1190-1348
SUNY Farmingdale State College,"Farmingdale, NY",4-year,Public,Large,Suburban,57%,$8K,Unknown
Northern Michigan University,"Marquette, MI",4-year,Public,Medium,Rural,57%,$17K,Unknown
Ursuline College,"Cleveland, OH",4-year,Private,Small,Suburban,48%,$15K,Unknown
Rivier University,"Nashua, NH",4-year,Private,Small,Suburban,56%,$29K,930-1130
Maine Maritime Academy,"Castine, ME",4-year,Public,Small,Rural,66%,$20K,1075-1275
Bristol Community College,"Fall River, MA",2-year,Public,Medium,Suburban,Unknown,$6K,Unknown
DeSales University,"Center Valley, PA",4-year,Private,Small,Suburban,68%,$29K,1100-1280
Yeshiva Kollel Tifereth Elizer,"Brooklyn, NY",4-year,Private,Unknown,Urban,17%,$8K,Unknown
Dutchess Community College,"Poughkeepsie, NY",2-year,Public,Medium,Suburban,Unknown,$8K,Unknown
University of Charleston,"Charleston, WV",4-year,Private,Small,Suburban,42%,$21K,943-1130
Grand River Technical School,"Chillicothe, MO",Less than 2-year,Unknown,Unknown,Rural,Unknown,$12K,Unknown
Juniata College,"Huntingdon, PA",4-year,Private,Small,Rural,71%,$30K,1095-1290
Linn-Benton Community College,"Albany, OR",2-year,Public,Medium,Suburban,Unknown,$12K,Unknown
Widener University,"Chester, PA",4-year,Private,Small,Suburban,68%,$32K,1065-1245
City University of New York: John Jay College of Criminal Justice,"New York, NY",4-year,Public,Large,Urban,54%,$5K,Unknown
Saint Louis University,"Saint Louis, MO",4-year,Private,Medium,Urban,81%,$30K,1130-1340
John Carroll University,"Cleveland, OH",4-year,Private,Small,Suburban,78%,$30K,1180-1330
Maryville College,"Maryville, TN",4-year,Private,Small,Suburban,53%,$22K,1043-1115
Drury University,"Springfield, MO",4-year,Private,Small,Urban,64%,$21K,1040-1330
University of California: Davis,"Davis, CA",4-year,Public,Very Large,Suburban,86%,$17K,1160-1370
City University of New York: Queensborough Community College,"Oakland Gardens, NY",2-year,Public,Medium,Urban,Unknown,$7K,Unknown
Valparaiso University,"Valparaiso, IN",4-year,Private,Small,Suburban,70%,$23K,Unknown
Nunez Community College,"Chalmette, LA",2-year,Public,Small,Suburban,Unknown,$12K,Unknown
Lebanon Valley College,"Annville, PA",4-year,Private,Small,Rural,68%,$27K,1120-1260
Principia College,"Elsah, IL",4-year,Private,Small,Rural,77%,$18K,1030-1240
University of West Alabama,"Livingston, AL",4-year,Public,Small,Rural,35%,$14K,Unknown
University of the Incarnate Word,"San Antonio, TX",4-year,Private,Medium,Urban,53%,$21K,Unknown
Central Baptist College,"Conway, AR",4-year,Private,Small,Urban,19%,$18K,835-1095
Barry University,"Miami, FL",4-year,Private,Small,Urban,39%,$20K,860-1062
Jamestown Business College,"Jamestown, NY",4-year,Private,Unknown,Suburban,Unknown,$7K,Unknown
University of Central Florida,"Orlando, FL",4-year,Public,Very Large,Urban,76%,$13K,1200-1340
Ohio University: Lancaster Campus,"Lancaster, OH",4-year,Public,Small,Suburban,10%,$8K,Unknown
Longwood University,"Farmville, VA",4-year,Public,Medium,Rural,67%,$22K,Unknown
City University of New York: Brooklyn College,"Brooklyn, NY",4-year,Public,Large,Urban,55%,$6K,Unknown
Bunker Hill Community College,"Charlestown, MA",2-year,Public,Small,Urban,Unknown,$9K,Unknown
Western Technical College,"La Crosse, WI",2-year,Public,Medium,Urban,Unknown,$9K,Unknown
Post University,"Waterbury, CT",4-year,Private,Very Large,Suburban,33%,$18K,Unknown
Villa Maria College of Buffalo,"Buffalo, NY",4-year,Private,Small,Suburban,36%,$15K,Unknown
Northland College,"Ashland, WI",4-year,Private,Small,Rural,54%,$23K,1010-1240
University of West Georgia,"Carrollton, GA",4-year,Public,Large,Rural,43%,$16K,950-1130
Columbus State University,"Columbus, GA",4-year,Public,Medium,Suburban,44%,$13K,Unknown
Lincoln Memorial University,"Harrogate, TN",4-year,Private,Small,Rural,50%,$19K,1002-1198
Benedictine University,"Lisle, IL",4-year,Private,Small,Suburban,53%,$26K,1093-1270
Belmont University,"Nashville, TN",4-year,Private,Medium,Urban,72%,$36K,1160-1350
University of Valley Forge,"Phoenixville, PA",4-year,Private,Small,Suburban,42%,$26K,1000-1165
Bushnell University,"Eugene, OR",4-year,Private,Small,Urban,52%,$24K,995-1380
York University,"York, NE",4-year,Private,Small,Rural,37%,$18K,900-1010
Thomas College,"Waterville, ME",4-year,Private,Small,Rural,49%,$22K,Unknown
Universidad Central De Bayamon,"Bayamon, PR",4-year,Private,Small,Suburban,30%,$4K,Unknown
Southern Wesleyan University,"Central, SC",4-year,Private,Small,Suburban,60%,$18K,1020-1140
Arcadia University,"Glenside, PA",4-year,Private,Small,Suburban,64%,$30K,1070-1265
Ohio University: Eastern Campus,"Saint Clairsville, OH",4-year,Public,Small,Rural,14%,$7K,Unknown
Baldwin Wallace University,"Berea, OH",4-year,Private,Small,Suburban,65%,$29K,1067-1262
