college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Bossier Parish Community College,"Bossier City, LA",2-year,Public,Medium,Suburban Graduation rate not available $10K average per year after aid 400-500,Unknown,Suburban Graduation rate not available $10K average per year after aid 400-500,Suburban Graduation rate not available $10K average per year after aid 400-500
California State University: San Marcos,"San Marcos, CA",4-year,Public,Large,Suburban 57% graduation rate $10K average per year after aid 880-1070,Suburban 57% graduation rate $10K average per year after aid 880-1070,Suburban 57% graduation rate $10K average per year after aid 880-1070,Suburban 57% graduation rate $10K average per year after aid 880-1070
Talmudical Seminary Of Bobov,"Brooklyn, NY",4-year,Private,Unknown,Urban 100% graduation rate $2K average per year after aid SAT score range not available,Urban 100% graduation rate $2K average per year after aid SAT score range not available,Urban 100% graduation rate $2K average per year after aid SAT score range not available,Unknown
Wright State University: Lake Campus,"Celina, OH",4-year,Public,Small,Rural 40% graduation rate $12K average per year after aid 790-1200,Rural 40% graduation rate $12K average per year after aid 790-1200,Rural 40% graduation rate $12K average per year after aid 790-1200,Rural 40% graduation rate $12K average per year after aid 790-1200
Oklahoma Christian University,"Edmond, OK",4-year,Private,Small,Suburban 57% graduation rate $20K average per year after aid 510-640,Suburban 57% graduation rate $20K average per year after aid 510-640,Suburban 57% graduation rate $20K average per year after aid 510-640,Suburban 57% graduation rate $20K average per year after aid 510-640
Baptist College of Florida,"Graceville, FL",4-year,Private,Small,Rural 56% graduation rate $10K average per year after aid 920-1260,Rural 56% graduation rate $10K average per year after aid 920-1260,Rural 56% graduation rate $10K average per year after aid 920-1260,Rural 56% graduation rate $10K average per year after aid 920-1260
Valley City State University,"Valley City, ND",4-year,Public,Small,Rural 47% graduation rate $12K average per year after aid 860-1190,Rural 47% graduation rate $12K average per year after aid 860-1190,Rural 47% graduation rate $12K average per year after aid 860-1190,Rural 47% graduation rate $12K average per year after aid 860-1190
University of Pittsburgh at Greensburg,"Greensburg, PA",4-year,Public,Small,Suburban 39% graduation rate $18K average per year after aid 510-600,Suburban 39% graduation rate $18K average per year after aid 510-600,Suburban 39% graduation rate $18K average per year after aid 510-600,Suburban 39% graduation rate $18K average per year after aid 510-600
University of North Carolina at Pembroke,"Pembroke, NC",4-year,Public,Medium,Rural 45% graduation rate $8K average per year after aid 910-1130,Rural 45% graduation rate $8K average per year after aid 910-1130,Rural 45% graduation rate $8K average per year after aid 910-1130,Rural 45% graduation rate $8K average per year after aid 910-1130
Christian Brothers University,"Memphis, TN",4-year,Private,Small,Urban 60% graduation rate $19K average per year after aid 515-640,Urban 60% graduation rate $19K average per year after aid 515-640,Urban 60% graduation rate $19K average per year after aid 515-640,Urban 60% graduation rate $19K average per year after aid 515-640
California State University: Sacramento,"Sacramento, CA",4-year,Public,Very Large,Urban 54% graduation rate $12K average per year after aid 880-1100,Urban 54% graduation rate $12K average per year after aid 880-1100,Urban 54% graduation rate $12K average per year after aid 880-1100,Urban 54% graduation rate $12K average per year after aid 880-1100
University of North Carolina at Charlotte,"Charlotte, NC",4-year,Public,Very Large,Urban 70% graduation rate $14K average per year after aid 665-1310,Urban 70% graduation rate $14K average per year after aid 665-1310,Urban 70% graduation rate $14K average per year after aid 665-1310,Urban 70% graduation rate $14K average per year after aid 665-1310
Saint Peter's University,"Jersey City, NJ",4-year,Private,Small,Urban 60% graduation rate $12K average per year after aid 923-1148,Urban 60% graduation rate $12K average per year after aid 923-1148,Urban 60% graduation rate $12K average per year after aid 923-1148,Urban 60% graduation rate $12K average per year after aid 923-1148
Saint Petersburg College,"St Petersburg, FL",4-year,Public,Very Large,Suburban Graduation rate not available $2K average per year after aid 920-1120,Unknown,Suburban Graduation rate not available $2K average per year after aid 920-1120,Suburban Graduation rate not available $2K average per year after aid 920-1120
University of Washington Bothell,"Bothell, WA",4-year,Public,Medium,Suburban 69% graduation rate $9K average per year after aid 1100-1390,Suburban 69% graduation rate $9K average per year after aid 1100-1390,Suburban 69% graduation rate $9K average per year after aid 1100-1390,Suburban 69% graduation rate $9K average per year after aid 1100-1390
University of Wisconsin-Whitewater,"Whitewater, WI",4-year,Public,Large,Suburban 62% graduation rate $13K average per year after aid 920-1130,Suburban 62% graduation rate $13K average per year after aid 920-1130,Suburban 62% graduation rate $13K average per year after aid 920-1130,Suburban 62% graduation rate $13K average per year after aid 920-1130
Concord University,"Athens, WV",4-year,Public,Small,Rural 40% graduation rate $8K average per year after aid 850-1090,Rural 40% graduation rate $8K average per year after aid 850-1090,Rural 40% graduation rate $8K average per year after aid 850-1090,Rural 40% graduation rate $8K average per year after aid 850-1090
University of Mississippi,"University, MS",4-year,Public,Very Large,Rural 68% graduation rate $14K average per year after aid 1000-1200,Rural 68% graduation rate $14K average per year after aid 1000-1200,Rural 68% graduation rate $14K average per year after aid 1000-1200,Rural 68% graduation rate $14K average per year after aid 1000-1200
University of the Virgin Islands,"St Thomas, VI",4-year,Public,Small,Suburban 26% graduation rate $9K average per year after aid 810-1033,Suburban 26% graduation rate $9K average per year after aid 810-1033,Suburban 26% graduation rate $9K average per year after aid 810-1033,Suburban 26% graduation rate $9K average per year after aid 810-1033
Ozark Christian College,"Joplin, MO",4-year,Private,Small,Urban 51% graduation rate $18K average per year after aid 720-1060,Urban 51% graduation rate $18K average per year after aid 720-1060,Urban 51% graduation rate $18K average per year after aid 720-1060,Urban 51% graduation rate $18K average per year after aid 720-1060
University of Maine at Presque Isle,"Presque Isle, ME",4-year,Public,Small,Rural 20% graduation rate $9K average per year after aid 840-1140,Rural 20% graduation rate $9K average per year after aid 840-1140,Rural 20% graduation rate $9K average per year after aid 840-1140,Rural 20% graduation rate $9K average per year after aid 840-1140
Eastern New Mexico University,"Portales, NM",4-year,Public,Medium,Rural 36% graduation rate $9K average per year after aid 860-1050,Rural 36% graduation rate $9K average per year after aid 860-1050,Rural 36% graduation rate $9K average per year after aid 860-1050,Rural 36% graduation rate $9K average per year after aid 860-1050
Central State University,"Wilberforce, OH",4-year,Public,Medium,Rural 25% graduation rate $10K average per year after aid 770-950,Rural 25% graduation rate $10K average per year after aid 770-950,Rural 25% graduation rate $10K average per year after aid 770-950,Rural 25% graduation rate $10K average per year after aid 770-950
Yeshivat Hechal Shemuel,"Brooklyn, NY",4-year,Private,Unknown,Urban 100% graduation rate $10K average per year after aid SAT score range not available,Urban 100% graduation rate $10K average per year after aid SAT score range not available,Urban 100% graduation rate $10K average per year after aid SAT score range not available,Unknown
North Iowa Area Community College,"Mason City, IA",2-year,Public,Small,Rural Graduation rate not available $6K average per year after aid 790-920,Unknown,Rural Graduation rate not available $6K average per year after aid 790-920,Rural Graduation rate not available $6K average per year after aid 790-920
University of Wyoming,"Laramie, WY",4-year,Public,Medium,Suburban 61% graduation rate $13K average per year after aid 1035-1260,Suburban 61% graduation rate $13K average per year after aid 1035-1260,Suburban 61% graduation rate $13K average per year after aid 1035-1260,Suburban 61% graduation rate $13K average per year after aid 1035-1260
Eastern Washington University,"Cheney, WA",4-year,Public,Large,Suburban 50% graduation rate $13K average per year after aid 910-1130,Suburban 50% graduation rate $13K average per year after aid 910-1130,Suburban 50% graduation rate $13K average per year after aid 910-1130,Suburban 50% graduation rate $13K average per year after aid 910-1130
University of Northern Iowa,"Cedar Falls, IA",4-year,Public,Medium,Suburban 64% graduation rate $16K average per year after aid 880-1200,Suburban 64% graduation rate $16K average per year after aid 880-1200,Suburban 64% graduation rate $16K average per year after aid 880-1200,Suburban 64% graduation rate $16K average per year after aid 880-1200
University Of Texas Rio Grande Valley,"Edinburg, TX",4-year,Public,Very Large,Suburban 53% graduation rate $8K average per year after aid 920-1100,Suburban 53% graduation rate $8K average per year after aid 920-1100,Suburban 53% graduation rate $8K average per year after aid 920-1100,Suburban 53% graduation rate $8K average per year after aid 920-1100
Southern Illinois University Edwardsville,"Edwardsville, IL",4-year,Public,Large,Suburban 52% graduation rate $14K average per year after aid 940-1160,Suburban 52% graduation rate $14K average per year after aid 940-1160,Suburban 52% graduation rate $14K average per year after aid 940-1160,Suburban 52% graduation rate $14K average per year after aid 940-1160
Black Hawk College,"Moline, IL",2-year,Public,Small,Urban Graduation rate not available $5K average per year after aid 850-1080,Unknown,Urban Graduation rate not available $5K average per year after aid 850-1080,Urban Graduation rate not available $5K average per year after aid 850-1080
Western Kentucky University,"Bowling Green, KY",4-year,Public,Large,Suburban 54% graduation rate $13K average per year after aid 940-1130,Suburban 54% graduation rate $13K average per year after aid 940-1130,Suburban 54% graduation rate $13K average per year after aid 940-1130,Suburban 54% graduation rate $13K average per year after aid 940-1130
Southern West Virginia Community and Technical College,"Mount Gay, WV",2-year,Public,Small,Rural Graduation rate not available $6K average per year after aid 820-1010,Unknown,Rural Graduation rate not available $6K average per year after aid 820-1010,Rural Graduation rate not available $6K average per year after aid 820-1010
Shepherd University,"Shepherdstown, WV",4-year,Public,Small,Rural 48% graduation rate $12K average per year after aid 960-1160,Rural 48% graduation rate $12K average per year after aid 960-1160,Rural 48% graduation rate $12K average per year after aid 960-1160,Rural 48% graduation rate $12K average per year after aid 960-1160
Antelope Valley College,"Lancaster, CA",4-year,Public,Unknown,Suburban 100% graduation rate $4K average per year after aid SAT score range not available,Suburban 100% graduation rate $4K average per year after aid SAT score range not available,Suburban 100% graduation rate $4K average per year after aid SAT score range not available,Unknown
University of Maine at Fort Kent,"Fort Kent, ME",4-year,Public,Small,Rural 33% graduation rate $12K average per year after aid 890-1096,Rural 33% graduation rate $12K average per year after aid 890-1096,Rural 33% graduation rate $12K average per year after aid 890-1096,Rural 33% graduation rate $12K average per year after aid 890-1096
Fayetteville State University,"Fayetteville, NC",4-year,Public,Medium,Urban 44% graduation rate $6K average per year after aid 868-1025,Urban 44% graduation rate $6K average per year after aid 868-1025,Urban 44% graduation rate $6K average per year after aid 868-1025,Urban 44% graduation rate $6K average per year after aid 868-1025
Monroe County Community College,"Monroe, MI",2-year,Public,Small,Rural Graduation rate not available $5K average per year after aid 910-1090,Unknown,Rural Graduation rate not available $5K average per year after aid 910-1090,Rural Graduation rate not available $5K average per year after aid 910-1090
Texas Woman's University,"Denton, TX",4-year,Public,Large,Suburban 48% graduation rate $12K average per year after aid 960-1150,Suburban 48% graduation rate $12K average per year after aid 960-1150,Suburban 48% graduation rate $12K average per year after aid 960-1150,Suburban 48% graduation rate $12K average per year after aid 960-1150
Montclair State University,"Montclair, NJ",4-year,Public,Very Large,Suburban 65% graduation rate $14K average per year after aid 920-1220,Suburban 65% graduation rate $14K average per year after aid 920-1220,Suburban 65% graduation rate $14K average per year after aid 920-1220,Suburban 65% graduation rate $14K average per year after aid 920-1220
Colorado State University: Pueblo,"Pueblo, CO",4-year,Public,Medium,Suburban 35% graduation rate $13K average per year after aid 900-1120,Suburban 35% graduation rate $13K average per year after aid 900-1120,Suburban 35% graduation rate $13K average per year after aid 900-1120,Suburban 35% graduation rate $13K average per year after aid 900-1120
Murray State University,"Murray, KY",4-year,Public,Medium,Rural 62% graduation rate $11K average per year after aid 980-1170,Rural 62% graduation rate $11K average per year after aid 980-1170,Rural 62% graduation rate $11K average per year after aid 980-1170,Rural 62% graduation rate $11K average per year after aid 980-1170
Texas A&M University-Kingsville,"Kingsville, TX",4-year,Public,Medium,Rural 44% graduation rate $11K average per year after aid 890-1080,Rural 44% graduation rate $11K average per year after aid 890-1080,Rural 44% graduation rate $11K average per year after aid 890-1080,Rural 44% graduation rate $11K average per year after aid 890-1080
Highland Community College,"Freeport, IL",2-year,Public,Small,Rural Graduation rate not available $6K average per year after aid 880-1080,Unknown,Rural Graduation rate not available $6K average per year after aid 880-1080,Rural Graduation rate not available $6K average per year after aid 880-1080
Commonwealth University Of Pennsylvania Mansfield,"Mansfield, PA",4-year,Public,Small,Rural 54% graduation rate $13K average per year after aid 950-1110,Rural 54% graduation rate $13K average per year after aid 950-1110,Rural 54% graduation rate $13K average per year after aid 950-1110,Rural 54% graduation rate $13K average per year after aid 950-1110
California State University: Bakersfield,"Bakersfield, CA",4-year,Public,Medium,Suburban 50% graduation rate $8K average per year after aid 1010-1160,Suburban 50% graduation rate $8K average per year after aid 1010-1160,Suburban 50% graduation rate $8K average per year after aid 1010-1160,Suburban 50% graduation rate $8K average per year after aid 1010-1160
Indiana University Kokomo,"Kokomo, IN",4-year,Public,Small,Suburban 41% graduation rate $7K average per year after aid 970-1170,Suburban 41% graduation rate $7K average per year after aid 970-1170,Suburban 41% graduation rate $7K average per year after aid 970-1170,Suburban 41% graduation rate $7K average per year after aid 970-1170
University of Maine at Farmington,"Farmington, ME",4-year,Public,Small,Rural 53% graduation rate $14K average per year after aid 975-1205,Rural 53% graduation rate $14K average per year after aid 975-1205,Rural 53% graduation rate $14K average per year after aid 975-1205,Rural 53% graduation rate $14K average per year after aid 975-1205
Kentucky State University,"Frankfort, KY",4-year,Public,Small,Urban 33% graduation rate $11K average per year after aid 838-1040,Urban 33% graduation rate $11K average per year after aid 838-1040,Urban 33% graduation rate $11K average per year after aid 838-1040,Urban 33% graduation rate $11K average per year after aid 838-1040
Appalachian State University,"Boone, NC",4-year,Public,Very Large,Rural 75% graduation rate $13K average per year after aid 1100-1270,Rural 75% graduation rate $13K average per year after aid 1100-1270,Rural 75% graduation rate $13K average per year after aid 1100-1270,Rural 75% graduation rate $13K average per year after aid 1100-1270
Idaho State University,"Pocatello, ID",4-year,Public,Medium,Urban 34% graduation rate $12K average per year after aid 890-1140,Urban 34% graduation rate $12K average per year after aid 890-1140,Urban 34% graduation rate $12K average per year after aid 890-1140,Urban 34% graduation rate $12K average per year after aid 890-1140
Texas A&M University-Texarkana,"Texarkana, TX",4-year,Public,Small,Suburban 30% graduation rate $11K average per year after aid 930-1100,Suburban 30% graduation rate $11K average per year after aid 930-1100,Suburban 30% graduation rate $11K average per year after aid 930-1100,Suburban 30% graduation rate $11K average per year after aid 930-1100
Delta State University,"Cleveland, MS",4-year,Public,Small,Rural 46% graduation rate $14K average per year after aid 970-1160,Rural 46% graduation rate $14K average per year after aid 970-1160,Rural 46% graduation rate $14K average per year after aid 970-1160,Rural 46% graduation rate $14K average per year after aid 970-1160
Indiana State University,"Terre Haute, IN",4-year,Public,Medium,Suburban 44% graduation rate $13K average per year after aid 880-1100,Suburban 44% graduation rate $13K average per year after aid 880-1100,Suburban 44% graduation rate $13K average per year after aid 880-1100,Suburban 44% graduation rate $13K average per year after aid 880-1100
Trinity Christian College,"Palos Heights, IL",4-year,Private,Small,Suburban 69% graduation rate $19K average per year after aid 450-550,Suburban 69% graduation rate $19K average per year after aid 450-550,Suburban 69% graduation rate $19K average per year after aid 450-550,Suburban 69% graduation rate $19K average per year after aid 450-550
Odessa College,"Odessa, TX",2-year,Public,Medium,Rural Graduation rate not available $10K average per year after aid 740-990,Unknown,Rural Graduation rate not available $10K average per year after aid 740-990,Rural Graduation rate not available $10K average per year after aid 740-990
Kean University,"Union, NJ",4-year,Public,Large,Urban 51% graduation rate $11K average per year after aid 910-1150,Urban 51% graduation rate $11K average per year after aid 910-1150,Urban 51% graduation rate $11K average per year after aid 910-1150,Urban 51% graduation rate $11K average per year after aid 910-1150
St. Catherine University,"Saint Paul, MN",4-year,Private,Small,Urban 64% graduation rate $20K average per year after aid 808-823,Urban 64% graduation rate $20K average per year after aid 808-823,Urban 64% graduation rate $20K average per year after aid 808-823,Urban 64% graduation rate $20K average per year after aid 808-823
Bethune-Cookman University,"Daytona Beach, FL",4-year,Private,Small,Urban 35% graduation rate $16K average per year after aid 830-1000,Urban 35% graduation rate $16K average per year after aid 830-1000,Urban 35% graduation rate $16K average per year after aid 830-1000,Urban 35% graduation rate $16K average per year after aid 830-1000
Sam Houston State University,"Huntsville, TX",4-year,Public,Very Large,Suburban 56% graduation rate $14K average per year after aid 940-1120,Suburban 56% graduation rate $14K average per year after aid 940-1120,Suburban 56% graduation rate $14K average per year after aid 940-1120,Suburban 56% graduation rate $14K average per year after aid 940-1120
Northwestern State University Of Louisiana,"Natchitoches, LA",4-year,Public,Medium,Suburban 47% graduation rate $14K average per year after aid 870-1150,Suburban 47% graduation rate $14K average per year after aid 870-1150,Suburban 47% graduation rate $14K average per year after aid 870-1150,Suburban 47% graduation rate $14K average per year after aid 870-1150
Oakland University,"Rochester, MI",4-year,Public,Large,Suburban 58% graduation rate $15K average per year after aid 900-1150,Suburban 58% graduation rate $15K average per year after aid 900-1150,Suburban 58% graduation rate $15K average per year after aid 900-1150,Suburban 58% graduation rate $15K average per year after aid 900-1150
Austin Peay State University,"Clarksville, TN",4-year,Public,Medium,Urban 42% graduation rate $16K average per year after aid 828-1107,Urban 42% graduation rate $16K average per year after aid 828-1107,Urban 42% graduation rate $16K average per year after aid 828-1107,Urban 42% graduation rate $16K average per year after aid 828-1107
California State University: Chico,"Chico, CA",4-year,Public,Large,Rural 64% graduation rate $16K average per year after aid 990-1293,Rural 64% graduation rate $16K average per year after aid 990-1293,Rural 64% graduation rate $16K average per year after aid 990-1293,Rural 64% graduation rate $16K average per year after aid 990-1293
Missouri Southern State University,"Joplin, MO",4-year,Public,Medium,Rural 34% graduation rate $10K average per year after aid 1030-1150,Rural 34% graduation rate $10K average per year after aid 1030-1150,Rural 34% graduation rate $10K average per year after aid 1030-1150,Rural 34% graduation rate $10K average per year after aid 1030-1150
Appalachian Bible College,"Mount Hope, WV",4-year,Private,Small,Rural 52% graduation rate $15K average per year after aid 1035-1177,Rural 52% graduation rate $15K average per year after aid 1035-1177,Rural 52% graduation rate $15K average per year after aid 1035-1177,Rural 52% graduation rate $15K average per year after aid 1035-1177
Adams State University,"Alamosa, CO",4-year,Public,Small,Rural 33% graduation rate $13K average per year after aid 935-1105,Rural 33% graduation rate $13K average per year after aid 935-1105,Rural 33% graduation rate $13K average per year after aid 935-1105,Rural 33% graduation rate $13K average per year after aid 935-1105
Avila University,"Kansas City, MO",4-year,Private,Small,Suburban 51% graduation rate $17K average per year after aid 800-1020,Suburban 51% graduation rate $17K average per year after aid 800-1020,Suburban 51% graduation rate $17K average per year after aid 800-1020,Suburban 51% graduation rate $17K average per year after aid 800-1020
West Virginia University,"Morgantown, WV",4-year,Public,Unknown,Suburban 61% graduation rate $12K average per year after aid 1040-1230,Suburban 61% graduation rate $12K average per year after aid 1040-1230,Suburban 61% graduation rate $12K average per year after aid 1040-1230,Suburban 61% graduation rate $12K average per year after aid 1040-1230
Troy University,"Troy, AL",4-year,Public,Large,Rural 45% graduation rate $13K average per year after aid 940-1150,Rural 45% graduation rate $13K average per year after aid 940-1150,Rural 45% graduation rate $13K average per year after aid 940-1150,Rural 45% graduation rate $13K average per year after aid 940-1150
Texas Southern University,"Houston, TX",4-year,Public,Medium,Urban 26% graduation rate $12K average per year after aid 820-980,Urban 26% graduation rate $12K average per year after aid 820-980,Urban 26% graduation rate $12K average per year after aid 820-980,Urban 26% graduation rate $12K average per year after aid 820-980
University of Saint Francis,"Fort Wayne, IN",4-year,Private,Small,Urban 55% graduation rate $18K average per year after aid 880-1070,Urban 55% graduation rate $18K average per year after aid 880-1070,Urban 55% graduation rate $18K average per year after aid 880-1070,Urban 55% graduation rate $18K average per year after aid 880-1070
University of St. Thomas,"Houston, TX",4-year,Private,Small,Urban 66% graduation rate $19K average per year after aid 1000-1200,Urban 66% graduation rate $19K average per year after aid 1000-1200,Urban 66% graduation rate $19K average per year after aid 1000-1200,Urban 66% graduation rate $19K average per year after aid 1000-1200
Central Michigan University,"Mount Pleasant, MI",4-year,Public,Large,Rural 62% graduation rate $16K average per year after aid 970-1200,Rural 62% graduation rate $16K average per year after aid 970-1200,Rural 62% graduation rate $16K average per year after aid 970-1200,Rural 62% graduation rate $16K average per year after aid 970-1200
Illinois Valley Community College,"Oglesby, IL",2-year,Public,Small,Rural Graduation rate not available $8K average per year after aid 890-1090,Unknown,Rural Graduation rate not available $8K average per year after aid 890-1090,Rural Graduation rate not available $8K average per year after aid 890-1090
University of Washington Tacoma,"Tacoma, WA",4-year,Public,Medium,Urban 54% graduation rate $11K average per year after aid 960-1200,Urban 54% graduation rate $11K average per year after aid 960-1200,Urban 54% graduation rate $11K average per year after aid 960-1200,Urban 54% graduation rate $11K average per year after aid 960-1200
Mercy College of Ohio,"Toledo, OH",4-year,Private,Small,Urban 38% graduation rate $15K average per year after aid 830-1000,Urban 38% graduation rate $15K average per year after aid 830-1000,Urban 38% graduation rate $15K average per year after aid 830-1000,Urban 38% graduation rate $15K average per year after aid 830-1000
North Carolina Central University,"Durham, NC",4-year,Public,Medium,Urban 44% graduation rate $14K average per year after aid 820-970,Urban 44% graduation rate $14K average per year after aid 820-970,Urban 44% graduation rate $14K average per year after aid 820-970,Urban 44% graduation rate $14K average per year after aid 820-970
University of California: Merced,"Merced, CA",4-year,Public,Medium,Rural 67% graduation rate $14K average per year after aid 1030-1350,Rural 67% graduation rate $14K average per year after aid 1030-1350,Rural 67% graduation rate $14K average per year after aid 1030-1350,Rural 67% graduation rate $14K average per year after aid 1030-1350
Columbia College,"Columbia, SC",4-year,Private,Small,Urban 55% graduation rate $19K average per year after aid 883-1120,Urban 55% graduation rate $19K average per year after aid 883-1120,Urban 55% graduation rate $19K average per year after aid 883-1120,Urban 55% graduation rate $19K average per year after aid 883-1120
Towson University,"Towson, MD",4-year,Public,Very Large,Suburban 70% graduation rate $14K average per year after aid 950-1230,Suburban 70% graduation rate $14K average per year after aid 950-1230,Suburban 70% graduation rate $14K average per year after aid 950-1230,Suburban 70% graduation rate $14K average per year after aid 950-1230
Eastern Oregon University,"La Grande, OR",4-year,Public,Small,Rural 38% graduation rate $15K average per year after aid 940-1140,Rural 38% graduation rate $15K average per year after aid 940-1140,Rural 38% graduation rate $15K average per year after aid 940-1140,Rural 38% graduation rate $15K average per year after aid 940-1140
Louisiana State University in Shreveport,"Shreveport, LA",4-year,Public,Small,Urban 33% graduation rate $8K average per year after aid 930-1150,Urban 33% graduation rate $8K average per year after aid 930-1150,Urban 33% graduation rate $8K average per year after aid 930-1150,Urban 33% graduation rate $8K average per year after aid 930-1150
Georgia Gwinnett College,"Lawrenceville, GA",4-year,Public,Large,Suburban 20% graduation rate $11K average per year after aid 910-1140,Suburban 20% graduation rate $11K average per year after aid 910-1140,Suburban 20% graduation rate $11K average per year after aid 910-1140,Suburban 20% graduation rate $11K average per year after aid 910-1140
Western Oregon University,"Monmouth, OR",4-year,Public,Medium,Rural 48% graduation rate $17K average per year after aid 985-1220,Rural 48% graduation rate $17K average per year after aid 985-1220,Rural 48% graduation rate $17K average per year after aid 985-1220,Rural 48% graduation rate $17K average per year after aid 985-1220
East Carolina University,"Greenville, NC",4-year,Public,Very Large,Urban 65% graduation rate $14K average per year after aid 1060-1220,Urban 65% graduation rate $14K average per year after aid 1060-1220,Urban 65% graduation rate $14K average per year after aid 1060-1220,Urban 65% graduation rate $14K average per year after aid 1060-1220
Tennessee State University,"Nashville, TN",4-year,Public,Medium,Urban 33% graduation rate $12K average per year after aid 900-1030,Urban 33% graduation rate $12K average per year after aid 900-1030,Urban 33% graduation rate $12K average per year after aid 900-1030,Urban 33% graduation rate $12K average per year after aid 900-1030
Texas State University,"San Marcos, TX",4-year,Public,Very Large,Suburban 56% graduation rate $14K average per year after aid 990-1180,Suburban 56% graduation rate $14K average per year after aid 990-1180,Suburban 56% graduation rate $14K average per year after aid 990-1180,Suburban 56% graduation rate $14K average per year after aid 990-1180
University of Louisiana at Lafayette,"Lafayette, LA",4-year,Public,Large,Urban 51% graduation rate $13K average per year after aid 990-1210,Urban 51% graduation rate $13K average per year after aid 990-1210,Urban 51% graduation rate $13K average per year after aid 990-1210,Urban 51% graduation rate $13K average per year after aid 990-1210
Grand View University,"Des Moines, IA",4-year,Private,Small,Urban 52% graduation rate $20K average per year after aid 860-1170,Urban 52% graduation rate $20K average per year after aid 860-1170,Urban 52% graduation rate $20K average per year after aid 860-1170,Urban 52% graduation rate $20K average per year after aid 860-1170
University of North Carolina at Greensboro,"Greensboro, NC",4-year,Public,Large,Urban 58% graduation rate $11K average per year after aid 1150-1335,Urban 58% graduation rate $11K average per year after aid 1150-1335,Urban 58% graduation rate $11K average per year after aid 1150-1335,Urban 58% graduation rate $11K average per year after aid 1150-1335
University of Mount Union,"Alliance, OH",4-year,Private,Small,Suburban 62% graduation rate $23K average per year after aid 480-590,Suburban 62% graduation rate $23K average per year after aid 480-590,Suburban 62% graduation rate $23K average per year after aid 480-590,Suburban 62% graduation rate $23K average per year after aid 480-590
