college_name,majors
Shepherd University,"Accounting|Agricultural Business and Management, General|Agricultural and Food Products Processing|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|College Student Counseling and Personnel Services|Computational and Applied Mathematics|Computer Engineering, General|Computer and Information Sciences, General|Criminal Justice/Law Enforcement Administration|Curriculum and Instruction|Data Modeling/Warehousing and Database Administration|Drama and Dramatics/Theater Arts, General|Economics, General|Education, General|Elementary Education and Teaching|Engineering Science|English Language and Literature, General|Environmental Studies|Family and Consumer Sciences/Human Sciences, General|Foods, Nutrition, and Wellness Studies, General|General Studies|Health and Wellness, General|Health/Health Care Administration/Management|History, General|Information Technology|International/Globalization Studies|Kindergarten/Preschool Education and Teaching|Mathematics, General|Music Performance, General|Music, General|Nursing Practice|Nutrition Sciences|Parks, Recreation, and Leisure Studies|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Psychology, General|Public Administration|Regional Studies (U.S., Canadian, Foreign)|Registered Nursing/Registered Nurse|Secondary Education and Teaching|Social Work|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Sport and Fitness Administration/Management"
Antelope Valley College,"Accounting Technology/Technician and Bookkeeping|Administrative Assistant and Secretarial Science, General|Aircraft Powerplant Technology/Technician|Airframe Mechanics and Aircraft Maintenance Technology/Technician|American Sign Language (ASL)|Animation, Interactive Technology, Video Graphics, and Special Effects|Anthropology|Apparel and Textiles, General|Applied Horticulture/Horticulture Operations, General|Art/Art Studies, General|Autobody/Collision and Repair Technology/Technician|Automobile/Automotive Mechanics Technology/Technician|Biological and Physical Sciences|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Child Care Provider/Assistant|Computer Graphics|Computer Programming/Programmer, General|Computer Science|Computer Systems Networking and Telecommunications|Criminal Justice/Law Enforcement Administration|Dance, General|Data Entry/Microcomputer Applications, General|Drafting and Design Technology/Technician, General|Drama and Dramatics/Theater Arts, General|Economics, General|Electrical/Electronics Equipment Installation and Repair Technology/Technician, General|Electrician|Engineering Technologies/Technicians, General|English Language and Literature, General|Exercise Science and Kinesiology|Family and Consumer Sciences/Human Sciences, General|Fire Prevention and Safety Technology/Technician|Geographic Information Science and Cartography|Geography|Geology/Earth Science, General|Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician|History, General|Humanities/Humanistic Studies|Industrial Electronics Technology/Technician|Information Technology|Interior Design|Landscaping and Groundskeeping|Liberal Arts and Sciences/Liberal Studies|Licensed Practical/Vocational Nurse Training|Manufacturing Engineering Technology/Technician|Mathematics, General|Medical Administrative/Executive Assistant and Medical Secretary|Medical/Clinical Assistant|Music, General|Office Management and Supervision|Philosophy|Photographic and Film/Video Technology/Technician|Physical Fitness Technician|Physical Sciences, General|Physics, General|Political Science and Government, General|Pre-Engineering|Prepress/Desktop Publishing and Digital Imaging Design|Psychology, General|Radio and Television|Radiologic Technology/Science - Radiographer|Real Estate|Recording Arts Technology/Technician|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Sales, Distribution, and Marketing Operations, General|Sign Language Interpretation and Translation|Small Business Administration/Management|Social Sciences, General|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Substance Abuse/Addiction Counseling|Teacher Assistant/Aide|Visual and Performing Arts, General|Welding Technology/Welder|Wildland/Forest Firefighting and Investigation"
University of Maine at Fort Kent,"Allied Health Diagnostic, Intervention, and Treatment Professions, Other|Behavioral Sciences|Biology/Biological Sciences, General|Business Administration and Management, General|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Law Enforcement Administration|Criminal Justice/Safety Studies|Environmental Studies|Forest Technology/Technician|Geographic Information Science and Cartography|Liberal Arts and Sciences/Liberal Studies|Nursing Science|Psychiatric/Mental Health Services Technician|Public Administration"
Fayetteville State University,"Accounting|Art/Art Studies, General|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Criminal Justice/Safety Studies|Dramatic/Theatre Arts and Stagecraft, Other|Early Childhood Education and Teaching|Education, Other|Educational Leadership and Administration, General|Elementary Education and Teaching|English Language and Literature, General|Entrepreneurial and Small Business Operations, Other|Finance, General|Fire Services Administration|Forensic Science and Technology|Geography|Health/Health Care Administration/Management|History, General|Junior High/Intermediate/Middle School Education and Teaching|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Materials Science|Mathematics, General|Medical/Health Management and Clinical Assistant/Specialist|Music, General|Physical Education Teaching and Coaching|Political Science and Government, General|Project Management|Psychology, General|Psychology, Other|Public Health Education and Promotion|Registered Nursing/Registered Nurse|Research and Experimental Psychology, Other|Social Work|Sociology|Spanish Language Teacher Education|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Strategic Intelligence|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor"
Monroe County Community College,"Accounting Technology/Technician and Bookkeeping|Accounting and Computer Science|Administrative Assistant and Secretarial Science, General|Agricultural Business and Management, General|Automobile/Automotive Mechanics Technology/Technician|Automotive Engineering Technology/Technician|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Computer Graphics|Computer Hardware Technology/Technician|Computer Programming/Programmer, General|Computer Science|Computer Software and Media Applications, Other|Computer and Information Sciences and Support Services, Other|Computer and Information Systems Security/Auditing/Information Assurance|Construction Engineering Technology/Technician|Corrections and Criminal Justice, Other|Criminal Justice/Police Science|Culinary Arts/Chef Training|Data Processing and Data Processing Technology/Technician|Early Childhood Education and Teaching|Electrical, Electronic, and Communications Engineering Technology/Technician|Electrical/Electronic Engineering Technologies/Technicians, Other|Engineering/Engineering-Related Technologies/Technicians, Other|Entrepreneurship/Entrepreneurial Studies|Executive Assistant/Executive Secretary|Fine/Studio Arts, General|Food Preparation/Professional Cooking/Kitchen Assistant|General Studies|Graphic Design|Industrial Electronics Technology/Technician|Legal Administrative Assistant/Secretary|Liberal Arts and Sciences/Liberal Studies|Licensed Practical/Vocational Nurse Training|Manufacturing Engineering Technology/Technician|Mechanical Drafting and Mechanical Drafting CAD/CADD|Mechanical/Mechanical Engineering Technology/Technician|Medical Administrative/Executive Assistant and Medical Secretary|Medical Office Management/Administration|Nuclear Engineering Technology/Technician|Office Management and Supervision|Operations Management and Supervision|Phlebotomy Technician/Phlebotomist|Quality Control Technology/Technician|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Solar Energy Technology/Technician|System, Networking, and LAN/WAN Management/Manager|Teacher Assistant/Aide|Web Page, Digital/Multimedia and Information Resources Design|Welding Technology/Welder"
Texas Woman's University,
Montclair State University,"Accounting|Advertising|Animation, Interactive Technology, Video Graphics, and Special Effects|Anthropology|Applied Mathematics|Arabic Language and Literature|Art/Art Studies, General|Artificial Intelligence|Athletic Training/Trainer|Audiology/Audiologist|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Business Analytics|Business/Commerce, General|Chemistry, General|Cinematography and Film/Video Production|Classics and Classical Languages, Literatures, and Linguistics, General|Clinical Child Psychology|College Student Counseling and Personnel Services|Communication Sciences and Disorders, General|Communication and Media Studies, Other|Computational Science|Computer Teacher Education|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Counselor Education/School Counseling and Guidance Services|Dance, General|Developmental and Child Psychology|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|East Asian Languages, Literatures, and Linguistics, General|Economics, General|Education, General|Education/Teaching of Individuals with Autism|Education/Teaching of the Gifted and Talented|Educational Assessment, Testing, and Measurement|Educational Leadership and Administration, General|Elementary Education and Teaching|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Environmental Studies|Exercise Science and Kinesiology|Experimental Psychology|Family and Consumer Sciences/Human Sciences, General|Fashion/Apparel Design|French Language and Literature|Geography|Geology/Earth Science, General|German Language and Literature|Graphic Design|Higher Education/Higher Education Administration|History, General|Hospitality Administration/Management, General|Human Development and Family Studies, General|Human Resources Management/Personnel Administration, General|Humanities/Humanistic Studies|Industrial and Product Design|Information Technology|Italian Language and Literature|Journalism|Language Interpretation and Translation|Latin Language and Literature|Legal Assistant/Paralegal|Legal Professions and Studies, Other|Liberal Arts and Sciences/Liberal Studies|Linguistics|Make-Up Artist/Specialist|Management Science|Marine Biology and Biological Oceanography|Marketing/Marketing Management, General|Mathematics Teacher Education|Mathematics, General|Medical/Health Humanities|Medicinal and Pharmaceutical Chemistry|Modeling, Virtual Environments and Simulation|Molecular Biology|Multi-/Interdisciplinary Studies, General|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music Teacher Education|Music Therapy/Therapist|Music, General|Natural Resources/Conservation, General|Nutrition Sciences|Philosophy|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Project Management|Psychometrics and Quantitative Psychology|Public Health, General|Public Policy Analysis|Radio and Television|Reading Teacher Education|Recording Arts Technology/Technician|Registered Nursing/Registered Nurse|Religion/Religious Studies|Research Methodology and Quantitative Methods|Research and Experimental Psychology, Other|Science Technologies/Technicians, Other|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Special Education and Teaching, Other|Speech Communication and Rhetoric|Sports Communication|Statistics, General|Student Counseling and Personnel Services, Other|Substance Abuse/Addiction Counseling|Sustainability Studies|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teacher Education and Professional Development, Specific Subject Areas, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor|Urban Studies/Affairs|Women's Studies|Writing, General|Youth Services/Administration"
Colorado State University: Pueblo,"Accounting|Athletic Training/Trainer|Automotive Engineering Technology/Technician|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Business/Managerial Economics|Chemistry, General|Civil Engineering Technologies/Technicians|Computer and Information Systems Security/Auditing/Information Assurance|Construction Management, General|Criminology|Early Childhood Education and Teaching|Education, General|Engineering, Other|English Language and Literature, General|Exercise Science and Kinesiology|Fine/Studio Arts, General|Foreign Languages and Literatures, General|Health Professions and Related Clinical Sciences, Other|History, General|Homeland Security|Industrial Engineering|Information Science/Studies|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Mechatronics, Robotics, and Automation Engineering|Multi-/Interdisciplinary Studies, General|Music, General|Natural Resources/Conservation, General|Natural Sciences|Nursing Administration|Nursing Education|Nursing Practice|Physics, General|Political Science and Government, General|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Registered Nursing/Registered Nurse|Social Work|Sociology|Sports, Kinesiology, and Physical Education/Fitness, General|Visual and Performing Arts, Other"
Murray State University,"Accounting|Advertising|Agricultural Teacher Education|Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other|Air Transportation, Other|Animal Health|Animal Sciences, General|Applied and Professional Ethics|Art Teacher Education|Audiology/Audiologist and Speech-Language Pathology/Pathologist|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|CAD/CADD Drafting and/or Design Technology/Technician|Chemistry, General|Chinese Language and Literature|Civil Engineering Technologies/Technicians|Civil Engineering, General|Clinical Psychology|College Student Counseling and Personnel Services|Communication Sciences and Disorders, General|Community Health and Preventive Medicine|Community Organization and Advocacy|Computer Science|Computer and Information Systems Security/Auditing/Information Assurance|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Safety Studies|Crisis/Emergency/Disaster Management|Development Economics and International Development|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Econometrics and Quantitative Economics|Economics, General|Educational Administration and Supervision, Other|Educational Leadership and Administration, General|Electromechanical/Electromechanical Engineering Technology/Technician|Elementary Education and Teaching|Engineering Physics/Applied Physics|Engineering Technologies/Technicians, General|English Language and Literature, General|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Exercise Science and Kinesiology|Experimental Psychology|Finance, General|Fine/Studio Arts, General|Foods, Nutrition, and Wellness Studies, General|Foreign Languages, Literatures, and Linguistics, Other|General Studies|Geographic Information Science and Cartography|Geological and Earth Sciences/Geosciences, Other|Geology/Earth Science, General|German Language and Literature|Health Communication|Health Teacher Education|Higher Education/Higher Education Administration|History, General|Human Services, General|Industrial Technology/Technician|Information Science/Studies|Information Technology|International Relations and Affairs|Japanese Language and Literature|Journalism|Junior High/Intermediate/Middle School Education and Teaching|Liberal Arts and Sciences/Liberal Studies|Linguistic, Comparative, and Related Language Studies and Services, Other|Logistics, Materials, and Supply Chain Management|Manufacturing Engineering Technology/Technician|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Music Management|Music Teacher Education|Music, General|Nursing Practice|Occupational Safety and Health Technology/Technician|Occupational Therapy/Therapist|Organizational Communication, General|Organizational Leadership|Outdoor Education|Photography|Physics, General|Political Science and Government, General|Portuguese Language and Literature|Public Administration|Public Relations/Image Management|Radio and Television|Reading Teacher Education|Registered Nursing/Registered Nurse|Research and Experimental Psychology, Other|School Librarian/School Library Media Specialist|Secondary Education and Teaching|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Sustainability Studies|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor|Technical Teacher Education|Wildlife, Fish and Wildlands Science and Management"
Texas A&M University-Kingsville,"Accounting|Adult and Continuing Education and Teaching|Agribusiness/Agricultural Business Operations|Agriculture, General|Agronomy and Crop Science|Animal Sciences, General|Architectural Engineering|Banking and Financial Support Services|Bilingual and Multilingual Education|Biology/Biological Sciences, General|Biomedical Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemical Engineering|Chemistry, General|Civil Engineering, General|Communication Sciences and Disorders, General|Communication, General|Community Psychology|Computer Engineering, General|Computer Programming, Specific Applications|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Counseling Psychology|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Criminology|Cultural Studies/Critical Theory and Analysis|Dietetics/Dietitian|Digital Arts|Early Childhood Education and Teaching|Education, General|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Engineering, General|Engineering/Industrial Management|English Language and Literature, General|Environmental/Environmental Health Engineering|Environmental/Natural Resources Management and Policy, General|Exercise Science and Kinesiology|Facilities Planning and Management|Family and Consumer Sciences/Human Sciences, General|Farm/Farm and Ranch Management|Finance, General|Financial Planning and Services|Fine/Studio Arts, General|General Studies|Geology/Earth Science, General|Geophysics and Seismology|History, General|Human Resources Management/Personnel Administration, General|Industrial Engineering|Industrial Technology/Technician|Informatics|Information Science/Studies|Jazz/Jazz Studies|Logistics, Materials, and Supply Chain Management|Management Sciences and Quantitative Methods, Other|Marketing/Marketing Management, General|Mathematics and Statistics|Mathematics, General|Mechanical Engineering|Mechatronics, Robotics, and Automation Engineering|Mental Health Counseling/Counselor|Multi-/Interdisciplinary Studies, Other|Music, General|Petroleum Engineering|Photography|Physics, General|Political Science and Government, General|Psychology, General|Reading Teacher Education|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Sustainability Studies|Taxation|Veterinary/Animal Health Technology/Technician and Veterinary Assistant|Wildlife, Fish and Wildlands Science and Management|Women's Studies"
Highland Community College,
Commonwealth University Of Pennsylvania Mansfield,
California State University: Bakersfield,"Agribusiness/Agricultural Business Operations|Anthropology|Art/Art Studies, General|Biochemistry|Biological and Biomedical Sciences, Other|Biology/Biological Sciences, General|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Chemistry, General|Community College Administration|Computer Engineering, General|Computer Science|Counseling Psychology|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Educational Leadership and Administration, General|Electrical and Electronics Engineering|Engineering Science|Engineering, General|English Language and Literature, General|Environmental/Natural Resources Management and Policy, Other|Environmental/Natural Resources Management and Policy, Other|Geology/Earth Science, General|Health/Health Care Administration/Management|History, General|Liberal Arts and Sciences/Liberal Studies|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music, General|National Security Policy Studies|Natural Sciences|Philosophy|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Registered Nursing/Registered Nurse|Religion/Religious Studies|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Teacher Education and Professional Development, Specific Subject Areas, Other"
Indiana University Kokomo,"Accounting|Art/Art Studies, General|Biochemistry|Biological and Physical Sciences|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Computer Science|Criminal Justice/Law Enforcement Administration|Criminal Justice/Safety Studies|Digital Communication and Media/Multimedia|Education, Other|Elementary Education and Teaching|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Family Practice Nurse/Nursing|Fine/Studio Arts, General|Health Information/Medical Records Technology/Technician|Health and Medical Administrative Services, Other|Health and Wellness, General|History and Political Science|History, General|Homeland Security|Hospitality Administration/Management, General|Humanities/Humanistic Studies|Informatics|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Mathematics, General|Medical Radiologic Technology/Science - Radiation Therapist|Mental Health Counseling/Counselor|Multi-/Interdisciplinary Studies, General|Nursing Administration|Nursing Education|Political Science and Government, General|Psychology, General|Public Administration|Radiologic Technology/Science - Radiographer|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other|Registered Nursing/Registered Nurse|Secondary Education and Teaching|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Sustainability Studies|Writing, General"
University of Maine at Farmington,"Actuarial Science|Administration of Special Education|Anthropology|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration, Management and Operations, Other|Business/Managerial Economics|Community Health Services/Liaison/Counseling|Computer Science|Counseling Psychology|Creative Writing|Early Childhood Education and Teaching|Education/Teaching of Individuals in Early Childhood Special Education Programs|Education/Teaching of the Gifted and Talented|Educational Leadership and Administration, General|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Environmental Studies|Foreign Language Teacher Education|General Studies|Geography, Other|Geological and Earth Sciences/Geosciences, Other|Health Teacher Education|Higher Education/Higher Education Administration|History, General|International/Globalization Studies|Mathematics Teacher Education|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Operations Management and Supervision|Organizational Leadership|Philosophy and Religious Studies, General|Political Science and Government, General|Psychology, General|Rehabilitation Science|Science Teacher Education/General Science Teacher Education|Secondary Education and Teaching|Special Education and Teaching, General|Special Education and Teaching, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor|Visual and Performing Arts, General|Web/Multimedia Management and Webmaster"
Kentucky State University,"Agricultural Business and Management, General|Agriculture, General|Animal/Livestock Husbandry and Production|Aquaculture|Biology/Biological Sciences, General|Broadcast Journalism|Business Administration and Management, General|Chemistry, General|Computer and Information Sciences, General|Criminal Justice/Safety Studies|Digital Communication and Media/Multimedia|Elementary Education and Teaching|English Language and Literature, General|Environmental Science|Environmental Studies|Fine/Studio Arts, General|Food Science and Technology, Other|Forensic Psychology|Human Development and Family Studies, General|Journalism, Other|Land Use Planning and Management/Development|Liberal Arts and Sciences/Liberal Studies|Mathematics, General|Music Teacher Education|Music, General|Nursing Administration|Physical Education Teaching and Coaching|Political Science and Government, General|Psychology, General|Public Administration|Public Relations, Advertising, and Applied Communication|Registered Nursing/Registered Nurse|Social Sciences, General|Social Work|Special Education and Teaching, General"
Appalachian State University,"Accounting|Actuarial Science|Adult and Continuing Education Administration|Advertising|African-American/Black Studies|Anthropology|Apparel and Textiles, General|Area Studies, Other|Art Teacher Education|Art/Art Studies, General|Athletic Training/Trainer|Bilingual, Multilingual, and Multicultural Education, Other|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Managerial Economics|Chemistry, General|Child Development|City/Urban, Community, and Regional Planning|College Student Counseling and Personnel Services|Commercial Photography|Communication Sciences and Disorders, General|Communication, General|Computer Science|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Curriculum and Instruction|Dance, General|Data Modeling/Warehousing and Database Administration|Dietetics/Dietitian|Drama and Dramatics/Theater Arts, General|Education/Teaching of Individuals with Autism|Education/Teaching of Individuals with Emotional Disturbances|Education/Teaching of Individuals with Specific Learning Disabilities|Educational Leadership and Administration, General|Educational, Instructional, and Curriculum Supervision|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Environmental Studies|Environmental/Environmental Engineering Technology/Technician|Exercise Science and Kinesiology|Finance, General|Fine/Studio Arts, General|Food Science and Technology, Other|Forensic Science and Technology|Geography|Geography, Other|Geology/Earth Science, General|Gerontology|Graphic Communications, General|Graphic Design|Health/Health Care Administration/Management|Higher Education/Higher Education Administration|History Teacher Education|History, General|Hospitality Administration/Management, General|Human Resources Management/Personnel Administration, General|Industrial Technology/Technician|Industrial and Organizational Psychology|Industrial and Product Design|Insurance|Interior Design|International Business/Trade/Commerce|International/Globalization Studies|Journalism|Junior High/Intermediate/Middle School Education and Teaching|Kindergarten/Preschool Education and Teaching|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Library and Information Science|Linguistic, Comparative, and Related Language Studies and Services, Other|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Marketing/Marketing Management, General|Marriage and Family Therapy/Counseling|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music Management|Music Pedagogy|Music Performance, General|Music Teacher Education|Music Therapy/Therapist|Non-Profit/Public/Organizational Management|Occupational Therapy/Therapist|Parks, Recreation and Leisure Facilities Management|Philosophy|Photography|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Public Relations/Image Management|Radio and Television|Reading Teacher Education|Registered Nursing/Registered Nurse|Religion/Religious Studies|Romance Languages, Literatures, and Linguistics, Other|School Psychology|Secondary School Administration/Principalship|Social Work|Sociology|Solar Energy Technology/Technician|Special Education and Teaching, General|Speech Communication and Rhetoric|Speech-Language Pathology/Pathologist|Sports, Kinesiology, and Physical Education/Fitness, General|Statistics, Other|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teacher Education and Professional Development, Specific Subject Areas, Other|Teacher Education, Multiple Levels|Veterinary/Animal Health Technology/Technician and Veterinary Assistant|Women's Studies"
Idaho State University,"Accounting|Accounting Technology/Technician and Bookkeeping|Administration of Special Education|Administrative Assistant and Secretarial Science, General|Adult Development and Aging|Adult Literacy Tutor/Instructor|Aeronautical/Aerospace Engineering Technology/Technician|Aircraft Powerplant Technology/Technician|Airframe Mechanics and Aircraft Maintenance Technology/Technician|American Indian/Native American Languages, Literatures, and Linguistics|Animal-Assisted Therapy|Anthropology|Applied Mathematics|Architectural Technology/Technician|Art/Art Studies, General|Athletic Training/Trainer|Audiology/Audiologist|Audiology/Audiologist and Speech-Language Pathology/Pathologist|Autobody/Collision and Repair Technology/Technician|Automobile/Automotive Mechanics Technology/Technician|Biochemistry and Molecular Biology|Bioethics/Medical Ethics|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Business/Office Automation/Technology/Data Entry|CAD/CADD Drafting and/or Design Technology/Technician|Chemistry, General|Child Care and Support Services Management|Civil Engineering Technologies/Technicians|Civil Engineering, General|Clinical Laboratory Science/Medical Technology/Technologist|Clinical Psychology|Communication, General|Community Health Services/Liaison/Counseling|Computer Engineering, General|Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist|Computer Science|Computer Systems Networking and Telecommunications|Cosmetology/Cosmetologist, General|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Police Science|Criminal Justice/Safety Studies|Crisis/Emergency/Disaster Management|Critical Infrastructure Protection|Dance, General|Dental Hygiene/Hygienist|Diagnostic Medical Sonography/Sonographer and Ultrasound Technician|Diesel Mechanics Technology/Technician|Dietetics/Dietitian|Digital Arts|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education/Teaching of Individuals with Hearing Impairments Including Deafness|Educational Administration and Supervision, Other|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Electrical, Electronic, and Communications Engineering Technology/Technician|Electrician|Elementary Education and Teaching|Elementary and Middle School Administration/Principalship|Emergency Medical Technology/Technician (EMT Paramedic)|Energy Systems Technology/Technician|Engineering Science|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Environmental/Environmental Health Engineering|Experimental Psychology|Family and Consumer Sciences/Home Economics Teacher Education|Finance, General|Fire Science/Fire-fighting|French Language and Literature|General Studies|Geographic Information Science and Cartography|Geology/Earth Science, General|German Language and Literature|Gerontology|Health Information/Medical Records Technology/Technician|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|Health/Medical Preparatory Programs, Other|History, General|Holistic/Integrative Health|Hospitality Administration/Management, General|Human Resources Development|Human Resources Management and Services, Other|Industrial Mechanics and Maintenance Technology/Technician|Informatics|Information Technology|Instrumentation Technology/Technician|International/Globalization Studies|Japanese Language and Literature|Laser and Optical Technology/Technician|Legal Assistant/Paralegal|Liberal Arts and Sciences/Liberal Studies|Licensed Practical/Vocational Nurse Training|Manufacturing Engineering Technology/Technician|Marketing/Marketing Management, General|Marriage and Family Therapy/Counseling|Massage Therapy/Therapeutic Massage|Mathematics Teacher Education|Mathematics, General|Mechanical Drafting and Mechanical Drafting CAD/CADD|Mechanical Engineering|Mechanical/Mechanical Engineering Technology/Technician|Medical Anthropology|Medical Informatics|Medical Insurance Coding Specialist/Coder|Medical Radiologic Technology/Science - Radiation Therapist|Medical/Clinical Assistant|Mental Health Counseling/Counselor|Mental and Social Health Services and Allied Professions, Other|Microbiology, General|Multi-/Interdisciplinary Studies, General|Music Performance, General|Music Teacher Education|Music, General|Nail Technician/Specialist and Manicurist|Nuclear Engineering|Nuclear Engineering Technology/Technician|Nursing Education|Nursing Practice|Occupational Therapist Assistant|Occupational Therapy/Therapist|Pharmaceutical Sciences|Pharmacy|Pharmacy Technician/Assistant|Philosophy|Physical Education Teaching and Coaching|Physical Therapy Assistant|Physical Therapy/Therapist|Physician Assistant|Physics, General|Physics, Other|Plumbing Technology/Plumber|Political Science and Government, General|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Public Health Education and Promotion|Public Health, General|Registered Nursing/Registered Nurse|Rehabilitation Science|Respiratory Care Therapy/Therapist|School Psychology|Secondary Education and Teaching|Sign Language Interpretation and Translation|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech-Language Pathology/Pathologist|Statistics, General|Surveying Technology/Surveying|Systems Engineering|Taxation|Teacher Education and Professional Development, Specific Subject Areas, Other|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor|Welding Technology/Welder"
Texas A&M University-Texarkana,"Accounting|Adult and Continuing Education and Teaching|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Chemistry, General|Communication, General|Computer and Information Sciences, General|Counseling Psychology|Criminal Justice/Safety Studies|Curriculum and Instruction|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Elementary Education and Teaching|English Language and Literature, General|Exercise Science and Kinesiology|General Studies|History, General|Mass Communication/Media Studies|Mathematics, General|Mechanical Engineering|Multi-/Interdisciplinary Studies, Other|Nursing Administration|Nursing Education|Political Science and Government, General|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Registered Nursing/Registered Nurse|School Psychology|Social Work|Sociology"
