college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score,majors
Odessa College,"Odessa, TX",2-year,Public,Medium,Rural,Unknown,$10K,Unknown,"Administrative Assistant and Secretarial Science, General|Agriculture, General|Art Teacher Education|Art/Art Studies, General|Automobile/Automotive Mechanics Technology/Technician|Biology/Biological Sciences, General|Business Administration and Management, General|Chemistry, General|Child Care Provider/Assistant|Child Development|Commercial Photography|Computer Science|Computer and Information Sciences, General|Cosmetology, Barber/Styling, and Nail Instructor|Cosmetology/Cosmetologist, General|Criminal Justice/Police Science|Criminal Justice/Safety Studies|Culinary Arts/Chef Training|Diesel Mechanics Technology/Technician|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Electrical/Electronics Equipment Installation and Repair Technology/Technician, General|Emergency Medical Technology/Technician (EMT Paramedic)|Engineering, General|English Language and Literature, General|English/Language Arts Teacher Education|Equestrian/Equine Studies|Fire Science/Fire-fighting|Food Service, Waiter/Waitress, and Dining Room Management/Manager|Foreign Languages and Literatures, General|General Studies|Geology/Earth Science, General|History Teacher Education|Legal Assistant/Paralegal|Licensed Practical/Vocational Nurse Training|Lineworker|Machine Tool Technology/Machinist|Mass Communication/Media Studies|Massage Therapy/Therapeutic Massage|Mathematics, General|Mechanical Engineering|Mechatronics, Robotics, and Automation Engineering|Medical Administrative/Executive Assistant and Medical Secretary|Music Teacher Education|Music, General|Occupational Safety and Health Technology/Technician|Organizational Leadership|Pharmacy Technician/Assistant|Phlebotomy Technician/Phlebotomist|Physical Education Teaching and Coaching|Physical Therapy Assistant|Physics, General|Psychology, General|Radiologic Technology/Science - Radiographer|Registered Nursing/Registered Nurse|Restaurant, Culinary, and Catering Management/Manager|Rhetoric and Composition|Science Teacher Education/General Science Teacher Education|Secondary Education and Teaching|Social Sciences, General|Sociology|Spanish Language Teacher Education|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Substance Abuse/Addiction Counseling|Surgical Technology/Technologist|Surveying Technology/Surveying|Teacher Education, Multiple Levels|Welding Technology/Welder"
Kean University,"Union, NJ",4-year,Public,Large,Urban,51%,$11K,910-1150,"Accounting|Acting|Advertising|Architectural and Building Sciences/Technology|Architecture|Art History, Criticism and Conservation|Art Teacher Education|Art/Art Studies, General|Asian Studies/Civilization|Athletic Training/Trainer|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Business Administration, Management and Operations, Other|Chemistry, General|Clinical Laboratory Science/Medical Technology/Technologist|Communication Sciences and Disorders, General|Community Health and Preventive Medicine|Computer Systems Networking and Telecommunications|Computer and Information Sciences, General|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Law Enforcement Administration|Design and Visual Communications, General|Drama and Dramatics/Theater Arts, General|Economics, General|Education/Teaching of Individuals with Speech or Language Impairments|Educational Leadership and Administration, General|Educational Psychology|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|English Language and Literature, General|Environmental Science|Exercise Science and Kinesiology|Finance, General|Fine/Studio Arts, General|Foreign Language Teacher Education|Forensic Psychology|Genetic Counseling/Counselor|Geology/Earth Science, General|Health Information/Medical Records Administration/Administrator|History, General|Holocaust and Related Studies|Industrial and Product Design|Interior Design|International Business/Trade/Commerce|International/Globalization Studies|Kindergarten/Preschool Education and Teaching|Liberal Arts and Sciences, General Studies and Humanities, Other|Marketing/Marketing Management, General|Marriage and Family Therapy/Counseling|Mathematics Teacher Education|Mathematics, General|Mental Health Counseling/Counselor|Music Performance, General|Music Teacher Education|Music, General|Nursing Science|Occupational Therapy/Therapist|Parks, Recreation and Leisure Facilities Management|Philosophy and Religious Studies, General|Physical Education Teaching and Coaching|Physical Therapy/Therapist|Physician Assistant|Political Science and Government, General|Psychology, General|Psychology, Other|Public Administration|Public Relations/Image Management|Reading Teacher Education|School Psychology|Science Technologies/Technicians, Other|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Special Education and Teaching, Other|Speech Communication and Rhetoric|Speech-Language Pathology/Pathologist|Sustainability Studies|Technical Theater/Theater Design and Technology|Therapeutic Recreation/Recreational Therapy|Urban Education and Leadership|Writing, General"
St. Catherine University,"Saint Paul, MN",4-year,Private,Small,Urban,64%,$20K,808-823,"Accounting|Adult Health Nurse/Nursing|Adult Literacy Tutor/Instructor|Alternative and Complementary Medicine and Medical Systems, Other|American Sign Language (ASL)|Anthropology|Applied Economics|Art History, Criticism and Conservation|Art Teacher Education|Art/Art Studies, General|Biochemistry|Biological and Physical Sciences|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business Administration, Management and Operations, Other|Chemistry, General|Communication, General|Community Health and Preventive Medicine|Computer Teacher Education|Criminal Justice/Safety Studies|Curriculum and Instruction|Data Science, General|Development Economics and International Development|Diagnostic Medical Sonography/Sonographer and Ultrasound Technician|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Economics, General|Education, General|Educational/Instructional Technology|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Studies|Ethnic Studies|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Fashion Merchandising|Fashion/Apparel Design|French Language and Literature|Health Services Administration|History, General|Human Nutrition|International Economics|International Relations and Affairs|International/Globalization Studies|Kindergarten/Preschool Education and Teaching|Lay Ministry|Library and Information Science|Linguistics of ASL and Other Sign Languages|Marketing/Marketing Management, General|Mathematics Teacher Education|Mathematics, General|Medical Informatics|Medical Radiologic Technology/Science - Radiation Therapist|Montessori Teacher Education|Multi-/Interdisciplinary Studies, Other|Multicultural Education|Musical Theatre|Neuroscience|Non-Profit/Public/Organizational Management|Nursing Education|Nursing Practice|Nutrition Sciences|Occupational Therapist Assistant|Occupational Therapy/Therapist|Online Educator/Online Teaching|Operations Management and Supervision|Ophthalmic Technician/Technologist|Organizational Leadership|Pastoral Counseling and Specialized Ministries, Other|Pastoral Studies/Counseling|Pediatric Nurse/Nursing|Philosophy|Physical Education Teaching and Coaching|Physical Therapy Assistant|Physical Therapy/Therapist|Physician Assistant|Physics, General|Political Science and Government, General|Pre-Occupational Therapy Studies|Psychology, General|Psychology, Other|Public Health Education and Promotion|Public Health, General|Public Policy Analysis|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Science Teacher Education/General Science Teacher Education|Selling Skills and Sales Operations|Sign Language Interpretation and Translation|Social Studies Teacher Education|Social Work|Sociology|Spanish Language Teacher Education|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Sports, Kinesiology, and Physical Education/Fitness, Other|Teacher Education and Professional Development, Specific Subject Areas, Other|Theology/Theological Studies|Women's Studies"
Bethune-Cookman University,"Daytona Beach, FL",4-year,Private,Small,Urban,35%,$16K,830-1000,"Accounting|Athletic Training/Trainer|Biology Teacher Education|Biology/Biological Sciences, General|Business Administration and Management, General|Business and Innovation/Entrepreneurship Teacher Education|Chemistry, General|Clinical, Counseling and Applied Psychology, Other|Computer Engineering, General|Computer Science|Corrections and Criminal Justice, Other|Education/Teaching of Individuals with Specific Learning Disabilities|Elementary Education and Teaching|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Exercise Science and Kinesiology|Finance, General|Gerontology|History, General|Hotel/Motel Administration/Management|Information Science/Studies|International Business/Trade/Commerce|International Relations and Affairs|Liberal Arts and Sciences/Liberal Studies|Management Information Systems, General|Mass Communication/Media Studies|Mathematics, General|Music Teacher Education|Music Technology|Music, General|Organizational Behavior Studies|Parks, Recreation, and Leisure Studies|Physical Education Teaching and Coaching|Political Science and Government, General|Psychology, General|Public Health, General|Registered Nursing/Registered Nurse|Religion/Religious Studies|Social Studies Teacher Education|Sociology|Speech Communication and Rhetoric"
Sam Houston State University,"Huntsville, TX",4-year,Public,Very Large,Suburban,56%,$14K,940-1120,"Accounting|Agribusiness/Agricultural Business Operations|Agricultural Communication/Journalism|Agricultural Mechanization, General|Agriculture, General|Agroecology and Sustainable Agriculture|Agronomy and Crop Science|Animal Sciences, General|Animation, Interactive Technology, Video Graphics, and Special Effects|Applied Economics|Applied Engineering Technologies/Technicians|Athletic Training/Trainer|Banking and Financial Support Services|Biological and Physical Sciences|Biology/Biological Sciences, General|Biomedical Sciences, General|Business Administration and Management, General|Business/Commerce, General|Business/Managerial Economics|Chemistry, General|Clinical Psychology|Community Organization and Advocacy|Computer Engineering Technology/Technician|Computer Software Technology/Technician|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Construction Engineering Technology/Technician|Corrections and Criminal Justice, Other|Counseling Psychology|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Law Enforcement Administration|Criminal Justice/Safety Studies|Crisis/Emergency/Disaster Management|Critical Infrastructure Protection|Curriculum and Instruction|Dance, General|Data Science, General|Dietetics/Dietitian|Digital Communication and Media/Multimedia|Drafting and Design Technology/Technician, General|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Education, Other|Education/Teaching of Individuals in Early Childhood Special Education Programs|Educational Leadership and Administration, General|Educational Statistics and Research Methods|Educational, Instructional, and Curriculum Supervision|Educational/Instructional Technology|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Science|Exercise Science and Kinesiology|Experimental Psychology|Family Practice Nurse/Nursing|Family and Consumer Sciences/Human Sciences, General|Fashion Merchandising|Finance, General|Fine/Studio Arts, General|Foods, Nutrition, and Wellness Studies, General|Foodservice Systems Administration/Management|Forensic Chemistry|Forensic Science and Technology|French Language and Literature|Geographic Information Science and Cartography|Geography|Geology/Earth Science, General|Graphic Design|Health Communication|Health Services/Allied Health/Health Sciences, General|Health and Wellness, General|Health/Health Care Administration/Management|Higher Education/Higher Education Administration|History and Political Science|History, General|Homeland Security|Human Resources Management/Personnel Administration, General|Interior Design|International Business/Trade/Commerce|International and Comparative Education|Liberal Arts and Sciences/Liberal Studies|Library and Information Science|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Mechanical/Mechanical Engineering Technology/Technician|Multi-/Interdisciplinary Studies, Other|Music Pedagogy|Music Performance, General|Music Therapy/Therapist|Music, General|Musical Theatre|Osteopathic Medicine/Osteopathy|Philosophy|Photography|Physics, General|Play Therapy/Therapist|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Project Management|Psychology, General|Public Administration|Public Health, General|Radio and Television|Reading Teacher Education|Registered Nursing/Registered Nurse|School Psychology|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Statistics, General|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor"
Northwestern State University Of Louisiana,"Natchitoches, LA",4-year,Public,Medium,Suburban,47%,$14K,870-1150,"Accounting|Adult and Continuing Education and Teaching|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Cardiovascular Technology/Technologist|Clinical Psychology|College Student Counseling and Personnel Services|Communication Management and Strategic Communications|Computer Teacher Education|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Curriculum and Instruction|Dance, General|Diagnostic Medical Sonography/Sonographer and Ultrasound Technician|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Education, Other|Education/Teaching of Individuals in Early Childhood Special Education Programs|Education/Teaching of the Gifted and Talented|Educational Leadership and Administration, General|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|Engineering Technologies/Technicians, General|English Language and Literature, General|Family Practice Nurse/Nursing|Fine/Studio Arts, General|General Studies|Geographic Information Science and Cartography|Geriatric Nurse/Nursing|Health Services/Allied Health/Health Sciences, General|History, General|Homeland Security|Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other|Hospitality Administration/Management, General|Human Development and Family Studies, General|Industrial Technology/Technician|Information Science/Studies|Junior High/Intermediate/Middle School Education and Teaching|Liberal Arts and Sciences/Liberal Studies|Magnetic Resonance Imaging (MRI) Technology/Technician|Mathematics, General|Medical/Health Humanities|Microbiology, General|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music Teacher Education|Musical Theatre|Nursing Practice|Organizational Leadership|Physical Education Teaching and Coaching|Physical Sciences, General|Professional, Technical, Business, and Scientific Writing|Project Management|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Quality Control Technology/Technician|Radiologic Technology/Science - Radiographer|Reading Teacher Education|Registered Nursing/Registered Nurse|School Librarian/School Library Media Specialist|Secondary Education and Teaching|Social Work|Special Education and Teaching, General|Speech Communication and Rhetoric|Sport and Fitness Administration/Management|Sports, Kinesiology, and Physical Education/Fitness, General|Substance Abuse/Addiction Counseling|Teacher Education and Professional Development, Specific Levels and Methods, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor|Veterinary/Animal Health Technology/Technician and Veterinary Assistant"
Oakland University,"Rochester, MI",4-year,Public,Large,Suburban,58%,$15K,900-1150,"Accounting|Acting|Actuarial Science|Anatomy|Anthropology|Applied Mathematics|Art History, Criticism and Conservation|Biochemistry|Biological/Biosystems Engineering|Biology/Biological Sciences, General|Biomedical Sciences, General|Biophysics|Business Administration and Management, General|Business Administration, Management and Operations, Other|Business/Commerce, General|Business/Managerial Economics|Chemistry, General|Chinese Language and Literature|Chinese Studies|Cinematography and Film/Video Production|Clinical Laboratory Science/Medical Technology/Technologist|Communication, General|Computer Engineering, General|Computer Hardware Engineering|Computer and Information Sciences, General|Computer/Information Technology Services Administration and Management, Other|Conducting|Corrections and Criminal Justice, Other|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Law Enforcement Administration|Cyber/Computer Forensics and Counterterrorism|Dance, General|Dietetics/Dietitian|Drama and Dramatics/Theater Arts, General|Drawing|Early Childhood Education and Teaching|Economics, General|Education, Other|Education/Teaching of Individuals with Autism|Education/Teaching of Individuals with Emotional Disturbances|Education/Teaching of Individuals with Specific Learning Disabilities|Educational Leadership and Administration, General|Electrical and Electronics Engineering|Elementary Education and Teaching|Engineering Chemistry|Engineering Physics/Applied Physics|Engineering/Industrial Management|English Language and Literature, General|Entrepreneurial and Small Business Operations, Other|Environmental Chemistry|Environmental Health|Environmental Science|Exercise Physiology and Kinesiology|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Film/Cinema/Media Studies|Finance, General|Financial Analytics|Fine Arts and Art Studies, Other|Foreign Languages and Literatures, General|Forensic Nursing|French Language and Literature|Geriatric Nurse/Nursing|German Language and Literature|Graphic Design|Health Professions and Related Clinical Sciences, Other|Health and Wellness, General|Health/Health Care Administration/Management|Health/Medical Preparatory Programs, Other|Higher Education/Higher Education Administration|Histologic Technology/Histotechnologist|History, General|Homeland Security|Human Resources Development|Human Resources Management/Personnel Administration, General|Industrial Engineering|Information Technology|International Business/Trade/Commerce|International Relations and Affairs|Japanese Language and Literature|Japanese Studies|Journalism|Keyboard Instruments|Latin American Studies|Legal Professions and Studies, Other|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Linguistics|Logistics, Materials, and Supply Chain Management|Management Information Systems, General|Management Science|Management Sciences and Quantitative Methods, Other|Marketing/Marketing Management, General|Mathematics, General|Mechanical Engineering|Mechatronics, Robotics, and Automation Engineering|Medicine|Mental Health Counseling/Counselor|Music Pedagogy|Music Performance, General|Music Teacher Education|Music Technology|Music Theory and Composition|Music, General|Music, Other|Musical Theatre|Non-Profit/Public/Organizational Management|Nuclear Medical Technology/Technologist|Nursing Practice|Nursing Science|Nutrition Sciences|Occupational Health and Industrial Hygiene|Operations Management and Supervision|Organizational Leadership|Orthotist/Prosthetist|Painting|Philosophy|Photography|Physical Therapy/Therapist|Physics, General|Physics, Other|Political Science and Government, General|Pre-Pharmacy Studies|Pre-Physical Therapy Studies|Pre-Physician Assistant|Professional, Technical, Business, and Scientific Writing|Project Management|Psychology, General|Public Administration|Public Health, General|Public Relations, Advertising, and Applied Communication|Radiologic Technology/Science - Radiographer|Reading Teacher Education|Registered Nursing/Registered Nurse|Sculpture|Secondary Education and Teaching|Social Work|Sociology|Sociology and Anthropology|Spanish Language and Literature|Special Education and Teaching, General|Statistics, General|Superintendency and Educational System Administration|Systems Engineering|Teaching English as a Second or Foreign Language/ESL Language Instructor|Technical Theater/Theater Design and Technology|Visual and Performing Arts, General|Voice and Opera|Women's Studies|Writing, General"
Austin Peay State University,"Clarksville, TN",4-year,Public,Medium,Urban,42%,$16K,828-1107,"Accounting|Agriculture, General|Airline/Commercial/Professional Pilot and Flight Crew|Applied Psychology|Art/Art Studies, General|Biology/Biological Sciences, General|Biometry/Biometrics|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Classics and Classical Languages, Literatures, and Linguistics, General|Clinical Laboratory Science/Medical Technology/Technologist|Computer Science|Computer Systems Analysis/Analyst|Computer and Information Systems Security/Auditing/Information Assurance|Counseling Psychology|Criminal Justice/Law Enforcement Administration|Criminal Justice/Safety Studies|Curriculum and Instruction|Data Modeling/Warehousing and Database Administration|Drama and Dramatics/Theater Arts, General|Education, General|Education, Other|Education/Teaching of Individuals in Elementary Special Education Programs|Educational Evaluation and Research|Educational Leadership and Administration, General|Engineering Physics/Applied Physics|Engineering Technologies/Technicians, General|English Language and Literature, General|Exercise Science and Kinesiology|Family Practice Nurse/Nursing|Finance, General|Foreign Languages and Literatures, General|French Language and Literature|General Studies|Geology/Earth Science, General|Health/Health Care Administration/Management|History, General|Industrial and Organizational Psychology|Information Technology|Journalism|Liberal Arts and Sciences/Liberal Studies|Marketing/Marketing Management, General|Mass Communication/Media Studies|Mathematics, General|Mental Health Counseling/Counselor|Music, General|Non-Profit/Public/Organizational Management|Organizational Leadership|Philosophy|Physics, General|Political Science and Government, General|Project Management|Psychology, General|Radiologic Technology/Science - Radiographer|Reading Teacher Education|Registered Nursing/Registered Nurse|Research and Development Management|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Sports, Kinesiology, and Physical Education/Fitness, General|Sustainability Studies|Teacher Education, Multiple Levels|Teaching English as a Second or Foreign Language/ESL Language Instructor"
California State University: Chico,"Chico, CA",4-year,Public,Large,Rural,64%,$16K,990-1293,"Agribusiness/Agricultural Business Operations|Agricultural Business and Management, General|Agricultural Teacher Education|Agriculture, General|Agronomy and Crop Science|Animal Sciences, General|Anthropology|Art/Art Studies, General|Asian Studies/Civilization|Biochemistry|Biological and Physical Sciences|Biology/Biological Sciences, General|Botany/Plant Biology|Business Administration and Management, General|Chemistry, General|City/Urban, Community, and Regional Planning|Civil Engineering, General|Communication Sciences and Disorders, General|Computer Engineering, General|Computer Graphics|Computer Science|Construction Engineering Technology/Technician|Criminal Justice/Safety Studies|Design and Visual Communications, General|Dietetics/Dietitian|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Engineering, Other|Engineering-Related Fields, Other|Engineering-Related Fields, Other|Engineering/Industrial Management|English Language and Literature, General|Environmental Science|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Exercise Science and Kinesiology|Fine/Studio Arts, General|Foreign Language Teacher Education|French Language and Literature|Game and Interactive Media Design|Geography|Geological and Earth Sciences/Geosciences, Other|Geology/Earth Science, General|German Language and Literature|Health Professions and Related Clinical Sciences, Other|Health Services Administration|Health Services/Allied Health/Health Sciences, General|Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies|History, General|Humanities/Humanistic Studies|Industrial Technology/Technician|Information Technology|International Relations and Affairs|Journalism|Latin American Studies|Liberal Arts and Sciences/Liberal Studies|Linguistics|Manufacturing Engineering Technology/Technician|Mathematics Teacher Education|Mathematics, General|Mechanical Engineering|Microbiology, General|Multi-/Interdisciplinary Studies, Other|Music, General|Music, Other|Musical Theatre|Natural Sciences|Nutrition Sciences|Parks, Recreation, and Leisure Studies|Philosophy|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Radio and Television|Registered Nursing/Registered Nurse|Religion/Religious Studies|Rhetoric and Composition|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Speech-Language Pathology/Pathologist|Sports, Kinesiology, and Physical Education/Fitness, General|Teacher Education and Professional Development, Specific Levels and Methods, Other"
Missouri Southern State University,"Joplin, MO",4-year,Public,Medium,Rural,34%,$10K,1030-1150,"Acting|American Government and Politics (United States)|American/United States Studies/Civilization|Applied Behavior Analysis|Art/Art Studies, General|Automation Engineer Technology/Technician|Biology/Biological Sciences, General|Biomedical Sciences, General|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Business/Commerce, General|Chemical Technology/Technician|Chemistry, General|Clinical Laboratory Science/Medical Technology/Technologist|Clinical Psychology|Computer Programming, Specific Applications|Computer Programming/Programmer, General|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Corrections Administration|Costume Design|Creative Writing|Criminal Justice/Law Enforcement Administration|Criminal Justice/Police Science|Curriculum and Instruction|Dental Hygiene/Hygienist|Developmental and Child Psychology|Directing and Theatrical Production|Drama and Dramatics/Theater Arts, General|Dramatic/Theatre Arts and Stagecraft, Other|Educational Leadership and Administration, General|Elementary Education and Teaching|Emergency Medical Technology/Technician (EMT Paramedic)|English Language and Literature, General|Entrepreneurship/Entrepreneurial Studies|Environmental Health|European History|Exercise Science and Kinesiology|Fine/Studio Arts, General|Fire Science/Fire-fighting|French Language and Literature|Graphic Design|Health Professions and Related Clinical Sciences, Other|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|History, General|Homeland Security|Industrial Technology/Technician|International Policy Analysis|International Relations and Affairs|International/Globalization Studies|Jazz/Jazz Studies|Junior High/Intermediate/Middle School Education and Teaching|Juvenile Corrections|Language Interpretation and Translation|Latin American Studies|Law Enforcement Investigation and Interviewing|Legal Studies|Liberal Arts and Sciences/Liberal Studies|Linguistics|Logistics, Materials, and Supply Chain Management|Manufacturing Engineering Technology/Technician|Mathematics, General|Medical Radiologic Technology/Science - Radiation Therapist|Multi-/Interdisciplinary Studies, General|Music Pedagogy|Music Performance, General|Music, Other|Musical Theatre|Physical Education Teaching and Coaching|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health Education and Promotion|Public/Applied History|Quality Control Technology/Technician|Registered Nursing/Registered Nurse|Respiratory Care Therapy/Therapist|Romance Languages, Literatures, and Linguistics, General|Secondary Education and Teaching|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor|Technical Theater/Theater Design and Technology|Web/Multimedia Management and Webmaster"
Appalachian Bible College,"Mount Hope, WV",4-year,Private,Small,Rural,52%,$15K,1035-1177,"Bible/Biblical Studies|Theological and Ministerial Studies, Other"
Adams State University,"Alamosa, CO",4-year,Public,Small,Rural,33%,$13K,935-1105,"American Government and Politics (United States)|American History (United States)|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Chemistry, General|Communication and Media Studies, Other|Counseling Psychology|Creative Writing|Cultural Resource Management and Policy Analysis|Dramatic/Theatre Arts and Stagecraft, Other|Early Childhood Education and Teaching|Elementary Education and Teaching|English Language and Literature, General|Exercise Science and Kinesiology|Fine/Studio Arts, General|Geology/Earth Science, General|Higher Education/Higher Education Administration|Humanities/Humanistic Studies|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Mathematics, General|Music History, Literature, and Theory|Music Teacher Education|Physical Education Teaching and Coaching|Psychology, General|Psychology, Other|Public Administration|Public Relations, Advertising, and Applied Communication|Registered Nursing/Registered Nurse|Sociology|Special Education and Teaching, General|Sports Studies|Teacher Education, Multiple Levels"
Avila University,"Kansas City, MO",4-year,Private,Small,Suburban,51%,$17K,800-1020,"Accounting|Art Teacher Education|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Business and Innovation/Entrepreneurship Teacher Education|Business/Commerce, General|Community Psychology|Computer and Information Sciences, General|Counseling Psychology|Criminology|Drama and Dramatics/Theater Arts, General|Education, General|Education/Teaching of Individuals with Specific Learning Disabilities|Educational Leadership and Administration, General|Elementary Education and Teaching|English Language and Literature, General|Environmental Science|Exercise Science and Kinesiology|Finance, General|General Studies|Health/Health Care Administration/Management|History, General|Hospital and Health Care Facilities Administration/Management|Hospitality Administration/Management, General|Human Resources Management/Personnel Administration, General|Industrial and Organizational Psychology|International Business/Trade/Commerce|International and Comparative Education|Junior High/Intermediate/Middle School Education and Teaching|Medical Radiologic Technology/Science - Radiation Therapist|Music Performance, General|Non-Profit/Public/Organizational Management|Office Management and Supervision|Operations Management and Supervision|Organizational Leadership|Physical Education Teaching and Coaching|Pre-Medicine/Pre-Medical Studies|Professional, Technical, Business, and Scientific Writing|Psychology, General|Registered Nursing/Registered Nurse|Religion/Religious Studies|Sales, Distribution, and Marketing Operations, General|Social Work|Speech Communication and Rhetoric|Teacher Education, Multiple Levels"
